COUNTY_NAME,AMERICAN INDIAN OR ALASKA NATIVE,ASIAN OR PACIFIC ISLANDER,BLACK OR AFRICAN AMERICAN,ECONOMICALLY DISADVANTAGED,ENGLISH LANGUAGE LEARNER,FEMALE,GENERAL EDUCATION STUDENTS,HISPANIC OR LATINO,MALE,MIGRANT,MULTIRACIAL,NOT ECONOMICALLY DISADVANTAGED,NOT ENGLISH LANGUAGE LEARNER,NOT MIGRANT,STUDENTS WITH DISABILITIES,WHITE,PCT_GRAD,COUNTY_CODE
ALBANY,0.0,7.12,18.74,30.7,1.58,47.1,84.41,5.85,48.6,0.0,1.06,69.3,22.8,0.0,11.82,60.92,86.3,1
ALLEGANY,0.0,0.0,0.0,45.66,0.0,49.31,53.31,0.0,49.36,0.0,0.0,54.34,0.0,0.0,8.22,13.71,91.68,2
BRONX,0.24,4.84,18.68,71.08,10.9,47.14,75.3,56.29,51.39,0.0,0.15,25.0,51.09,0.0,18.58,2.81,71.71,32
BROOME,0.0,2.0,8.37,43.4,0.42,49.76,85.11,3.92,50.24,0.0,1.96,56.6,19.35,0.0,13.57,70.87,87.67,3
CATTARAUGUS,3.87,0.0,1.38,44.72,0.0,49.49,81.55,0.31,50.51,0.0,0.43,55.28,0.0,0.0,12.1,55.53,88.07,4
CAYUGA,0.0,0.0,4.77,39.25,0.0,50.69,70.05,1.17,49.31,0.0,0.82,60.75,0.0,0.0,7.18,64.87,86.61,5
CHAUTAUQUA,0.73,0.0,0.94,46.48,1.14,49.67,79.39,9.78,50.33,0.09,2.12,53.52,26.89,2.37,9.81,41.87,87.6,6
CHEMUNG,0.0,1.33,10.4,43.41,0.0,49.16,89.3,2.27,50.84,0.0,0.56,56.59,0.0,0.0,10.7,80.46,77.66,7
CHENANGO,0.0,0.0,0.52,48.48,0.0,49.87,75.98,0.26,50.13,0.0,0.0,51.52,0.0,0.0,14.77,34.4,90.23,8
CLINTON,0.3,0.0,0.97,41.68,0.0,48.83,77.67,0.0,51.17,0.0,0.35,58.32,0.0,0.0,15.92,46.29,88.18,9
COLUMBIA,0.0,1.49,6.02,41.02,1.22,49.84,78.11,3.17,49.62,0.23,1.09,58.44,15.56,5.83,14.7,67.75,86.93,10
CORTLAND,0.0,0.0,1.61,39.73,0.0,45.92,86.0,0.5,54.08,0.0,0.0,60.27,0.0,0.0,14.0,68.03,89.07,11
DELAWARE,0.0,0.0,0.0,46.75,0.0,52.12,59.99,0.0,46.12,0.0,0.0,51.5,0.0,0.0,12.68,31.18,90.38,12
DUTCHESS,0.0,2.88,11.27,29.37,0.53,49.29,86.33,12.25,50.71,0.0,0.53,70.63,15.01,0.0,12.23,68.82,88.64,13
ERIE,0.23,3.24,18.75,38.68,2.63,50.16,85.45,5.87,49.75,0.0,0.51,60.13,18.05,0.0,12.79,64.63,86.39,14
