AGGREGATION_NAME,AMERICAN INDIAN OR ALASKA NATIVE,ASIAN OR PACIFIC ISLANDER,BLACK,ECONOMICALLY DISADVANTAGED,FEMALE,FORMERLY LIMITED ENGLISH PROFICIENT,GENERAL EDUCATION STUDENTS,HISPANIC,LIMITED ENGLISH PROFICIENT,MALE,MIGRANT,MULTIRACIAL,NOT ECONOMICALLY DISADVANTAGED,NOT LIMITED ENGLISH PROFICIENT,NOT MIGRANT,STUDENTS WITH DISABILITIES,WHITE,PCT_GRAD,AGGREGATION_CODE,COUNTY_CODE,COUNTY_NAME,YEAR,HOMELESS,IN FOSTER CARE,NOT HOMELESS,NOT IN FOSTER CARE,PARENT NOT IN ARMED FORCES,PARENT IN ARMED FORCES
A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,0.39,4.84,34.4,73.93,51.84,0.87,94.28,59.4,2.03,48.16,0.0,0.1,26.07,97.97,100.0,5.72,0.87,82.95,310600011540,31,NEW YORK,2015,,,,,,
ABRAHAM LINCOLN HIGH SCHOOL,0.41,18.07,33.46,62.99,44.54,4.8,87.34,21.88,13.65,55.46,0.0,0.12,37.01,86.35,100.0,12.66,26.05,70.43,332100011410,33,KINGS,2015,,,,,,
ACAD FOR CAREERS IN TELEVISION-FILM,1.3,5.7,17.88,53.89,44.56,2.85,81.87,55.18,1.81,55.44,0.0,0.0,46.11,98.19,100.0,18.13,19.95,97.93,343000011301,34,QUEENS,2015,,,,,,
ACAD FOR COLLEGE PREP AND CAREER EXP,0.0,0.78,91.12,73.63,46.74,2.09,85.9,6.01,3.92,53.26,0.0,0.52,26.37,96.08,100.0,14.1,1.57,67.1,331700011382,33,KINGS,2015,,,,,,
ACAD FOR CONSERVATION & ENVIRONMENT,0.83,2.07,88.38,73.86,43.15,2.07,82.57,7.88,5.81,56.85,0.0,0.0,26.14,94.19,100.0,17.43,0.83,80.91,331800011637,33,KINGS,2015,,,,,,
ACAD-SCHOLARSHIP & ENTREPRENEURSHIP,0.57,1.99,64.67,70.09,47.58,0.57,77.78,31.62,3.7,52.42,0.0,0.0,29.91,96.3,100.0,22.22,1.14,70.66,321100011270,32,BRONX,2015,,,,,,
ACADEMY FOR ENVIRONMENTAL LDSHIP,0.3,0.9,17.77,59.34,54.82,7.53,84.64,79.52,31.33,45.18,0.0,0.0,40.66,68.67,100.0,15.36,1.51,73.49,333200011403,33,KINGS,2015,,,,,,
ACADEMY FOR HEALTH CAREERS,0.0,2.56,84.1,90.77,65.64,1.54,84.1,12.31,3.59,34.36,0.0,0.0,9.23,96.41,100.0,15.9,1.03,71.28,331700011751,33,KINGS,2015,,,,,,
ACADEMY FOR LANGUAGE AND TECHNOLOGY,0.0,0.0,0.66,94.06,48.51,19.47,95.05,99.34,71.62,51.49,0.0,0.0,5.94,28.38,100.0,4.95,0.0,91.09,320900011365,32,BRONX,2015,,,,,,
ACADEMY FOR SOCIAL ACTION,0.0,0.0,55.46,79.91,48.03,1.31,80.35,44.1,12.66,51.97,0.0,0.0,20.09,87.34,100.0,19.65,0.44,60.26,310500011367,31,NEW YORK,2015,,,,,,
ACADEMY FOR YOUNG WRITERS,0.65,0.33,65.36,75.49,73.86,1.96,86.27,30.39,0.65,26.14,0.0,0.0,24.51,99.35,100.0,13.73,3.27,79.41,331900011404,33,KINGS,2015,,,,,,
ACADEMY OF AMERICAN STUDIES,0.0,26.31,6.1,66.86,57.27,4.07,92.59,35.76,0.44,42.73,0.0,0.0,33.14,99.56,100.0,7.41,31.83,92.01,343000011575,34,QUEENS,2015,,,,,,
ACADEMY OF HOSPITALITY AND TOURISM,1.0,1.67,87.67,84.0,50.67,5.67,83.33,9.0,11.33,49.33,0.0,0.0,16.0,88.67,100.0,16.67,0.67,62.0,331700011408,33,KINGS,2015,,,,,,
ACADEMY OF INNOVATIVE TECHNOLOGY,0.24,8.51,42.32,70.45,25.3,3.07,79.67,47.28,7.8,74.7,0.0,0.47,29.55,92.2,100.0,20.33,1.18,73.29,331900011618,33,KINGS,2015,,,,,,
ACADEMY OF MEDICAL TECHNOLOGY,1.6,8.24,56.38,66.22,53.99,1.06,89.89,31.65,6.91,46.01,0.0,0.0,33.78,93.09,100.0,10.11,2.13,65.96,342700011309,34,QUEENS,2015,,,,,,
ACADEMY OF URBAN PLANNING,0.3,1.49,23.81,89.88,43.45,4.17,73.81,73.51,27.08,56.55,0.0,0.0,10.12,72.92,100.0,26.19,0.89,57.74,333200011552,33,KINGS,2015,,,,,,
ACADEMY-FINANCE & ENTERPRISE,0.64,18.42,7.49,76.66,48.61,3.85,90.58,58.46,4.93,51.39,0.0,0.43,23.34,95.07,100.0,9.42,14.56,93.79,342400011264,34,QUEENS,2015,,,,,,
ACHIEVEMENT FIRST BUSHWICK CHARTER,0.0,3.77,83.02,67.92,73.58,1.89,96.23,11.32,0.0,26.42,0.0,1.89,32.08,100.0,100.0,3.77,0.0,94.34,333200860906,33,KINGS,2015,,,,,,
ACHIEVEMENT FIRST CROWN HEIGHTS,0.0,0.93,92.59,52.78,62.04,0.0,92.59,6.48,0.0,37.96,0.0,0.0,47.22,100.0,100.0,7.41,0.0,89.81,331700860879,33,KINGS,2015,,,,,,
ACHIEVEMENT FIRST ENDEAVOR CHARTER,0.0,0.0,97.37,68.42,56.58,0.0,88.16,2.63,0.0,43.42,0.0,0.0,31.58,100.0,100.0,11.84,0.0,78.95,331300860902,33,KINGS,2015,,,,,,
ACORN COMMUNITY HIGH SCHOOL,0.96,1.28,85.26,79.33,44.39,0.8,81.41,11.22,2.24,55.61,0.0,0.0,20.67,97.76,100.0,18.59,1.28,64.9,331300011499,33,KINGS,2015,,,,,,
ADDISON HIGH SCHOOL,0.0,0.29,1.43,42.98,50.72,0.0,85.1,1.15,0.0,49.28,0.0,0.57,57.02,100.0,100.0,14.9,96.56,89.68,570101040002,57,STEUBEN,2015,,,,,,
ADIRONDACK HIGH SCHOOL,0.24,0.95,0.95,62.32,52.37,0.0,91.47,0.24,0.0,47.63,0.0,0.47,37.68,100.0,100.0,8.53,97.16,90.52,410401060005,41,ONEIDA,2015,,,,,,
AFTON JUNIOR/SENIOR HIGH SCHOOL,1.06,1.59,0.0,49.21,51.32,0.0,90.48,1.06,0.0,48.68,0.0,0.0,50.79,100.0,100.0,9.52,96.3,86.77,80101040003,8,CHENANGO,2015,,,,,,
AKRON HIGH SCHOOL,10.95,0.0,0.21,24.79,47.73,0.0,91.53,1.24,0.0,52.27,0.0,0.62,75.21,100.0,100.0,8.47,86.98,92.56,142101040002,14,ERIE,2015,,,,,,
ALBANY HIGH SCHOOL,0.21,9.1,54.03,51.39,50.02,2.03,84.73,12.12,8.07,49.98,0.21,2.11,48.61,91.93,99.79,15.27,22.42,58.87,10100010034,1,ALBANY,2015,,,,,,
ALBANY LEADERSHIP CHARTER HS-GIRLS,0.0,4.04,83.86,66.37,100.0,0.9,99.55,8.97,3.14,0.0,0.0,0.0,33.63,96.86,100.0,0.45,3.14,64.57,10100860960,1,ALBANY,2015,,,,,,
ALDEN SENIOR HIGH SCHOOL,0.34,0.84,0.84,30.82,46.57,0.34,89.28,0.67,0.67,53.43,0.0,0.17,69.18,99.33,100.0,10.72,97.15,93.13,140101060006,14,ERIE,2015,,,,,,
ALEXANDER HAMILTON HIGH SCHOOL,0.0,14.46,30.52,46.99,46.59,8.03,86.35,47.79,6.43,53.41,0.0,0.8,53.01,93.57,100.0,13.65,6.43,91.57,660409020003,66,WESTCHESTER,2015,,,,,,
ALEXANDER MIDDLE SCHOOL-HIGH SCHOOL,0.0,0.68,1.02,29.35,46.42,0.0,91.81,0.68,0.0,53.58,0.0,0.0,70.65,100.0,100.0,8.19,97.61,92.83,180202040003,18,GENESEE,2015,,,,,,
