,AGGREGATION_NAME,AMERICAN INDIAN OR ALASKA NATIVE,ASIAN OR PACIFIC ISLANDER,BLACK,ECONOMICALLY DISADVANTAGED,FEMALE,FORMERLY LIMITED ENGLISH PROFICIENT,GENERAL EDUCATION STUDENTS,HISPANIC,LIMITED ENGLISH PROFICIENT,MALE,MIGRANT,MULTIRACIAL,NOT ECONOMICALLY DISADVANTAGED,NOT LIMITED ENGLISH PROFICIENT,NOT MIGRANT,STUDENTS WITH DISABILITIES,WHITE,PCT_GRAD,AGGREGATION_CODE,COUNTY_CODE,COUNTY_NAME,YEAR,HOMELESS,IN FOSTER CARE,NOT HOMELESS,NOT IN FOSTER CARE,PARENT NOT IN ARMED FORCES,PARENT IN ARMED FORCES,NUM_OUT_CERT,PER_TEACH_INEXP,PER_OUT_CERT,NRC_CODE,CHARTER
0,ALBANY HIGH SCHOOL,0.21,9.1,54.03,51.39,50.02,2.03,84.73,12.12,8.07,49.98,0.21,2.11,48.61,91.93,99.79,15.27,22.42,58.87,10100010034,1,ALBANY,2015,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.38,2.08,3.0,False
1,ALBANY HIGH SCHOOL,0.0,8.7,54.9,50.64,51.58,0.0,84.04,13.13,6.61,48.42,0.0,0.0,49.36,93.39,0.0,15.96,20.76,62.58,10100010034,1,ALBANY,2016,0.0,0.0,0.0,0.0,0.0,0.0,22.0,6.12,4.49,3.0,False
2,ALBANY HIGH SCHOOL,0.0,8.03,55.35,49.46,50.22,0.0,85.25,13.8,7.24,49.78,0.0,0.0,50.54,92.76,0.0,14.75,20.0,66.56,10100010034,1,ALBANY,2017,0.0,0.0,0.0,0.0,0.0,0.0,34.0,7.93,6.91,3.0,False
3,ALBANY HIGH SCHOOL,0.0,8.05,53.97,50.54,50.19,0.46,84.98,15.56,6.59,49.81,0.0,0.0,49.46,93.41,0.0,15.02,19.49,68.91,10100010034,1,ALBANY,2018,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.87,1.14,3.0,False
4,ALBANY HIGH SCHOOL,0.0,8.54,53.16,53.76,49.57,1.01,86.66,15.82,7.78,50.43,0.0,0.0,46.24,92.22,0.0,13.34,19.61,70.06,10100010034,1,ALBANY,2019,2.88,0.0,97.12,0.0,0.0,0.0,16.0,16.59,4.61,3.0,False
5,GREEN TECH HIGH CHARTER SCHOOL,0.0,0.4,93.23,73.71,0.0,0.0,95.22,3.19,0.4,100.0,0.0,0.0,26.29,99.6,100.0,4.78,3.19,82.07,10100860907,1,ALBANY,2015,0.0,0.0,0.0,0.0,0.0,0.0,4.0,20.45,4.55,7.0,True
6,GREEN TECH HIGH CHARTER SCHOOL,0.0,0.0,68.05,74.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.94,0.0,0.0,0.0,0.0,87.22,10100860907,1,ALBANY,2016,0.0,0.0,0.0,0.0,0.0,0.0,7.0,15.56,7.78,7.0,True
7,GREEN TECH HIGH CHARTER SCHOOL,0.0,0.0,62.82,62.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.18,0.0,0.0,0.0,0.0,92.31,10100860907,1,ALBANY,2017,0.0,0.0,0.0,0.0,0.0,0.0,10.0,14.44,11.11,7.0,True
8,GREEN TECH HIGH CHARTER SCHOOL,0.0,0.0,84.51,58.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.59,0.0,0.0,0.0,0.0,91.15,10100860907,1,ALBANY,2018,0.0,0.0,0.0,0.0,0.0,0.0,12.0,15.62,36.36,7.0,True
9,GREEN TECH HIGH CHARTER SCHOOL,0.0,0.0,80.49,51.22,0.0,0.0,32.93,5.49,0.0,0.0,0.0,0.0,48.78,0.0,0.0,3.66,0.0,94.21,10100860907,1,ALBANY,2019,0.0,0.0,0.0,0.0,0.0,0.0,25.0,13.24,41.67,7.0,True
