,AMERICAN INDIAN OR ALASKA NATIVE,ASIAN OR PACIFIC ISLANDER,BLACK,ECONOMICALLY DISADVANTAGED,FEMALE,HISPANIC,LIMITED ENGLISH PROFICIENT,MIGRANT,MULTIRACIAL,STUDENTS WITH DISABILITIES,WHITE,PCT_GRAD,COUNTY_CODE,YEAR,HOMELESS,IN FOSTER CARE,PARENT IN ARMED FORCES,PER_TEACH_INEXP,PER_OUT_CERT,CHARTER
AMERICAN INDIAN OR ALASKA NATIVE,1.0,0.2773689131890421,0.1552761330864918,0.050107635785852256,0.023936869453001705,0.10353643375229828,0.18368692884864687,0.1418626290799593,0.30969440916707125,0.015932977504322446,0.15400151442674576,-0.09681813207799811,0.02132192714715922,-0.39422441337423775,-0.06911678710517294,-0.011318833419509572,-0.012400133272855047,-0.10953082628434009,-0.004519045983250938,-0.05671384818268483
ASIAN OR PACIFIC ISLANDER,0.2773689131890421,1.0,0.2445406650068628,-0.03497338334381926,0.004716131300278473,0.318309056523309,0.2636568415817732,0.017319040017165176,0.33315463393482275,-0.12171941494682993,0.2400002912166263,0.17543556326659496,0.09949988679560812,-0.16617572078669404,0.0012630934294513847,-0.011860187700882697,0.00194998760538769,-0.08191012190632825,-0.03130657456151272,-0.13179405366341432
BLACK,0.1552761330864918,0.2445406650068628,1.0,0.5436023228975998,0.053496606661800374,0.49541292639515766,0.3742303986112852,-0.033556321309192845,0.06531620074659428,0.3246100325008338,-0.31146376217815314,-0.3896036347770975,0.02064722619039208,-0.09439618777670387,0.1568605416823878,0.0016993870012131733,-0.002027191770376028,0.260392652960022,0.4504995794668093,0.1838977504687484
ECONOMICALLY DISADVANTAGED,0.050107635785852256,-0.03497338334381926,0.5436023228975998,1.0,0.06145513720323773,0.5227242665416043,0.45444029482135834,-0.06326489055972008,-0.19019200895845947,0.4084816941536228,-0.5631725179770064,-0.5581944553173706,-0.06379664628721997,0.044400957798381636,0.2157399048743787,0.003981566947093373,-0.012289922246022796,0.46945364539873474,0.6236980454869511,0.13706730914756476
FEMALE,0.023936869453001705,0.004716131300278473,0.053496606661800374,0.06145513720323773,1.0,0.04239260229974845,-0.08967992942878457,-0.011850806705397478,0.043266312869915245,-0.09331768836803407,0.010359672968844044,0.13030613892358073,-0.049179517428199294,-0.04004147909766938,-0.017673121983596735,-0.009580889776374555,0.0013544611148420694,-0.0009168066231702577,0.027886729562984873,0.09109478466348755
HISPANIC,0.10353643375229828,0.318309056523309,0.49541292639515766,0.5227242665416043,0.04239260229974845,1.0,0.6083354635353356,-0.0355515750143365,0.023461261397908925,0.3253269601102716,-0.2642454728341011,-0.31740539664048606,0.06752157737119029,-0.03616089524077611,0.19042491284723556,0.013861860415261797,-0.003691236702663001,0.3136282105300663,0.4507810692012721,0.06333628896536754
LIMITED ENGLISH PROFICIENT,0.18368692884864687,0.2636568415817732,0.3742303986112852,0.45444029482135834,-0.08967992942878457,0.6083354635353356,1.0,0.02630099347534635,0.02457796141319032,0.27011975567573104,-0.2405755672521545,-0.4895321434756795,0.03380510028748052,-0.0974248495773444,0.18572926246170665,0.015849605690601384,-0.02507989596572216,0.2134846586196559,0.3000910440655315,-0.04910953361767882
MIGRANT,0.1418626290799593,0.017319040017165176,-0.033556321309192845,-0.06326489055972008,-0.011850806705397478,-0.0355515750143365,0.02630099347534635,1.0,0.13013178715083795,-0.008382098750801882,0.1725256434868993,-0.014515848455645176,0.009381409359619123,-0.1739687289927658,-0.03779372953985833,0.0351136252183432,-0.004478514567139536,-0.10573599040685071,-0.09838093720963245,-0.02920554913306794
MULTIRACIAL,0.30969440916707125,0.33315463393482275,0.06531620074659428,-0.19019200895845947,0.043266312869915245,0.023461261397908925,0.02457796141319032,0.13013178715083795,1.0,-0.08884670579643367,0.36925191925629697,0.14438227675743712,0.030533393687619603,-0.2005616595363867,-0.02158498840905656,0.0004955856463497846,0.05022847733518732,-0.1895958412445111,-0.24412735584204104,-0.05920718986237797
STUDENTS WITH DISABILITIES,0.015932977504322446,-0.12171941494682993,0.3246100325008338,0.4084816941536228,-0.09331768836803407,0.3253269601102716,0.27011975567573104,-0.008382098750801882,-0.08884670579643367,1.0,-0.18549131558186996,-0.45892019803959816,-0.013044762665375222,0.012269657848464096,0.16153337584492264,-0.006087085267052827,0.002376366809444179,0.22959994450808538,0.3112708694362659,-0.032873904987246495
WHITE,0.15400151442674576,0.2400002912166263,-0.31146376217815314,-0.5631725179770064,0.010359672968844044,-0.2642454728341011,-0.2405755672521545,0.1725256434868993,0.36925191925629697,-0.18549131558186996,1.0,0.38341634867136776,0.06441480544655055,-0.1848286462004767,-0.1374252907484946,0.011401566081900088,0.02404137980603842,-0.4614013330147848,-0.6043730361694655,-0.19147396368305672
PCT_GRAD,-0.09681813207799811,0.17543556326659496,-0.3896036347770975,-0.5581944553173706,0.13030613892358073,-0.31740539664048606,-0.4895321434756795,-0.014515848455645176,0.14438227675743712,-0.45892019803959816,0.38341634867136776,1.0,0.020132819695302773,0.10717401061455122,-0.11986888402163352,-0.01126034530728516,0.012645706446901954,-0.23616608683891296,-0.38379625832731123,0.015740029806512155
