,year,county_name,Unnamed: 0,Unnamed: 0.1,district_cd,cohortye,total,gr_droppedout,gr_graduated,gr_iep,gr_ged,gr_stillenrolled,outcome_yrs,srcyear,subgroup,_name_,gr_local_cnt,district_from_df1,num_asian,num_black,num_hisp,num_am_ind,num_white,num_female,num_male,num_lep,num_free_lunch,num_reduced_lunch,num_multi,num_swd,num_ecdis,num_ell,district_from_faru,ufb,staid,star,totstat,lrev,fedrev,totrev,state_aid_total_revenues,star_total_revenues,state_revenues_total_revenues,bded,cadm,tsal,pps,cds,boc,tui1,tui2,ois,oiexp,cser,opmt,tchr,heal,oeb,total_fringe_benefits,ound,oth,subtot,trans,dsp,dsi,texp,total_unexpended_surplus_funds_t,revenue_expenditures,var,dcaadm,rev_pupil,exp_pupil,av_twpu,inc_twpu,pwr,apwr,cwr,instructional_salaries,instructional_fringe_benefits,ins_fb,adjusted_expenditures__subtotal,ie1,ie1_total,ie2_instructional_expenditures_i,ie2,ie3_instructional_expenditures_i,ie3_adj_exp,loc_eff_rate,districtid,name,district_name,grad_rate,year_avg,county_name_avg,grad_rate_avg
0,2005,Albany,0,0,10100,2000,618,83.0,407,21.0,57.0,50.0,5.0,200506,1.0,,,10100,269.0,5952.0,918.0,21.0,1884.0,,,300.0,5505.0,970.0,0.0,,,,10100,5680290,54570126,10225351,64795477,98285968,16659701,179741146,0.303603972793,0.0568893168179,0.36049328961099997,490999,2118256,54023846,5251097,4501195,3728010,188593,6610228,16305802,19303934,1199428,11203660,5165294,14257866,14441655,33864815,4053261,564400,163407524,5972182,7669294,5365766,182414766,0.0311394199305,-2673620,-0.0146568178587,10559,17022.5538403,17275.761530400006,244659,93587,0.706290415704,0.7897637130799999,0.748027064392,83809950,31177301.4,0.17091435130899998,162986931,109912705.0,0.602542806211,141090006.4,0.77345715752,140901413.4,0.8644951624989999,26.51,10100.0,albany city,albany city,0.6585760517799353,2005,Albany,0.8429170910826743
1,2005,Allegany,583,460,20101,2000,70,1.0,62,3.0,3.0,1.0,5.0,200506,1.0,,,20101,21.0,6.0,1.0,0.0,665.0,,,0.0,106.0,74.0,0.0,,,,20101,507295,5107311,938554,6045865,3393395,347272,9786532,0.521871384061,0.0959026139188,0.61777399798,100859,193809,3149232,135685,201221,583023,0,0,421409,461764,0,674255,310412,766948,468404,1545764,245639,100000,7812660,455636,739283,228664,9236243,0.054924388628599996,550289,0.0595793116314,729,13424.5980796,12669.7434842,177869,73197,0.513478637413,0.617696202532,0.565587419973,4490570,1324718.15,0.143426082445,7712660,4952334.0,0.5361848968240001,6277052.15,0.679610979269,6277052.15,0.813863459559,21.37,20101.0,alfred-almond central,alfred-almond central,0.8857142857142857,2005,Allegany,0.8947744726258523
2,2005,Broome,1362,952,30101,2000,153,12.0,125,4.0,8.0,4.0,5.0,200506,1.0,,,30101,10.0,23.0,23.0,3.0,1712.0,,,3.0,303.0,170.0,0.0,,,,30101,1109942,15151508,2314603,17466111,7188544,797753,25452408,0.595287801453,0.090938468376,0.6862262698289999,89290,545947,7149601,442829,490597,2745661,181934,0,1647397,733373,480,1821670,651035,3613375,1210977,5475387,332441,0,21656607,1460179,1618000,930292,25665078,0.043247170337800005,-212670,-0.00828635704906,1869,13618.1958266,13731.9839486,142173,81274,0.410430138568,0.6858565400839999,0.548143339326,12476085,4953005.745,0.192986194899,21474673,13391392.0,0.521774841284,18344397.745,0.714761036183,18162463.745,0.845762063292,21.0,30101.0,chenango forks central,chenango forks central,0.8169934640522876,2005,Broome,0.8068482190860273
3,2005,Cattaraugus,1158,788,22302,2000,110,8.0,101,0.0,1.0,0.0,5.0,200506,1.0,,,22302,7.0,9.0,8.0,3.0,928.0,,,0.0,325.0,124.0,0.0,,,,22302,1896949,11452356,1345444,12797800,5711277,917217,19426294,0.5895286048899999,0.0692589126881,0.658787517578,47474,388152,5240966,184180,322164,2990232,21606,14882,662878,569285,0,1699118,471089,1492538,868273,2831900,952681,0,15925518,923103,823077,412159,18083857,0.104897367857,1342437,0.0742339977583,1055,18413.5488152,17141.0966825,178341,58984,0.514841224018,0.497755274262,0.50629824914,9400420,2481710.88,0.137233493939,15903912,10006193.0,0.553321838367,12487903.88,0.690555332305,12466297.88,0.78385103489,20.95,22302.0,cuba-rushford central,cuba-rushford central,0.9181818181818182,2005,Cattaraugus,0.8230120638380442
4,2005,Cayuga,3002,1936,50100,2000,401,87.0,274,16.0,16.0,8.0,5.0,200506,1.0,,,50100,51.0,453.0,67.0,18.0,4265.0,,,12.0,1257.0,365.0,0.0,,,,50100,1816221,29970627,5522781,35493408,20536658,4168261,60198327,0.49786478285400004,0.0917430977775,0.589607880631,235961,948806,20952122,569005,1312800,5726902,206215,0,4314018,2997290,0,4125339,1575940,5827789,3652111,11055840,1558559,75000,54077857,1910186,3304438,1356750,60649231,0.029946315395200002,-450904,-0.00743462023451,4862,12381.3918141,12474.1322501,171486,82620,0.495051963048,0.6972151898729999,0.596133576461,32874847,10224077.417000001,0.168577197904,53796642,36078352.0,0.594869075916,46302429.416999996,0.76344627382,46096214.416999996,0.8568604415309999,18.2,50100.0,auburn city,auburn city,0.683291770573566,2005,Cayuga,0.7920679435027492
5,2005,Chautauqua,2511,1731,42801,2000,108,14.0,84,1.0,7.0,2.0,5.0,200506,1.0,,,42801,9.0,11.0,9.0,409.0,1022.0,,,0.0,445.0,192.0,0.0,,,,42801,2280953,12359216,1486792,13846008,7990555,1216950,23053513,0.536109876182,0.0644930774759,0.600602953658,103341,435193,7366009,483338,252317,1911934,150981,0,1171480,652526,0,1614882,710605,1412309,1490249,3613163,639177,756480,19150821,1726944,1155442,957892,22991099,0.0992102639374,62414,0.00271470276388,1501,15358.769487,15317.1878748,135780,60804,0.391974595843,0.513113924051,0.452544259947,11185078,3344338.3219999997,0.145462307913,18274840,11988585.0,0.521444625157,15332923.322,0.6669069330699999,15181942.322,0.8307565112469999,31.57,42801.0,gowanda central,gowanda central,0.7777777777777778,2005,Chautauqua,0.8617648906161546
6,2005,Chemung,4349,2955,70600,2000,506,65.0,373,29.0,27.0,12.0,5.0,200506,1.0,,,70600,53.0,1159.0,156.0,13.0,5628.0,,,22.0,3160.0,821.0,0.0,,,,70600,4341886,61408093,8201582,69609675,23517732,8825894,101953301,0.602315887742,0.0804444968388,0.68276038458,414472,1767588,29204265,1080100,2866914,9663309,184061,173591,6098202,3655739,398802,6757325,2450260,12648879,6171421,21270560,4389454,3100000,91024382,2426318,4835000,3248261,101533961,0.0427628938853,419340,0.00413004669443,7377,13820.428494,13763.584248299998,128580,65930,0.371189376443,0.5563713080170001,0.46378034223000003,48912790,20200982.27,0.198957886317,87740321,52926181.0,0.521265795983,73127163.27,0.7202236823010001,72943102.27,0.831352124527,18.86,70600.0,elmira city,elmira city,0.7371541501976284,2005,Chemung,0.8096148568651905
7,2005,Chenango,1363,952,30101,2000,153,12.0,125,4.0,8.0,4.0,5.0,200506,1.0,,,30101,10.0,23.0,23.0,3.0,1712.0,,,3.0,303.0,170.0,0.0,,,,30101,1109942,15151508,2314603,17466111,7188544,797753,25452408,0.595287801453,0.090938468376,0.6862262698289999,89290,545947,7149601,442829,490597,2745661,181934,0,1647397,733373,480,1821670,651035,3613375,1210977,5475387,332441,0,21656607,1460179,1618000,930292,25665078,0.043247170337800005,-212670,-0.00828635704906,1869,13618.1958266,13731.9839486,142173,81274,0.410430138568,0.6858565400839999,0.548143339326,12476085,4953005.745,0.192986194899,21474673,13391392.0,0.521774841284,18344397.745,0.714761036183,18162463.745,0.845762063292,21.0,30101.0,chenango forks central,chenango forks central,0.8169934640522876,2005,Chenango,0.8272251210714514
8,2005,Clinton,5292,3406,90201,2000,129,16.0,101,9.0,2.0,1.0,5.0,200506,1.0,,,90201,10.0,12.0,7.0,0.0,1298.0,,,0.0,278.0,139.0,0.0,,,,90201,535645,11991886,1812886,13804772,7922653,1654189,23381614,0.512876741529,0.0775346817375,0.590411423266,120758,382547,7642779,330733,423988,1955854,13286,0,1044217,651415,27000,1399400,667792,3347877,1407138,5422807,473541,0,19888325,1313208,989337,604433,22795303,0.023498042557299998,586311,0.0257206934253,1347,17358.2880475,16923.0163326,220911,64049,0.637733833718,0.540497890295,0.589115862007,11397571,5128906.95,0.224998410857,19875039,12062272.0,0.529156028327,17191178.95,0.754154439184,17177892.95,0.864294804654,17.67,90201.0,ausable valley central,ausable valley central,0.7829457364341085,2005,Clinton,0.8175220994471079
9,2005,Columbia,5743,3734,100501,2000,137,24.0,106,1.0,6.0,0.0,5.0,200506,1.0,,,100501,13.0,57.0,54.0,2.0,1636.0,,,7.0,347.0,209.0,0.0,,,,100501,1305403,10170010,1460838,11630848,16668487,1048145,29347480,0.346537760653,0.0497772892255,0.39631504987800004,169824,656639,9188639,540334,380480,1698125,425872,21617,1400695,1023381,141618,2570906,842692,3476808,1515571,5835071,556170,395000,25004371,2080847,1445000,1517464,30047682,0.043444382831300005,-700202,-0.0233030288326,1784,16450.381165900002,16842.8710762,413733,84960,1.19437933025,0.716962025316,0.955670677785,13208273,4768186.553,0.158687334118,24183499,14679143.0,0.48852829978699996,19447329.553,0.647215633905,19021457.553,0.786546957204,13.24,100501.0,taconic hills central,taconic hills central,0.7737226277372263,2005,Columbia,0.8216552308887931
