AGGREGATION_CODE,AMERICAN INDIAN OR ALASKA NATIVE,ASIAN OR PACIFIC ISLANDER,BLACK,ECONOMICALLY DISADVANTAGED,FEMALE,FORMERLY LIMITED ENGLISH PROFICIENT,GENERAL EDUCATION STUDENTS,HISPANIC,LIMITED ENGLISH PROFICIENT,MALE,MIGRANT,MULTIRACIAL,NOT ECONOMICALLY DISADVANTAGED,NOT LIMITED ENGLISH PROFICIENT,NOT MIGRANT,STUDENTS WITH DISABILITIES,WHITE,PCT_GRAD,AGGREGATION_NAME,COUNTY_CODE,COUNTY_NAME,YEAR
10100010034,0.21,9.1,54.03,51.39,50.02,2.03,84.73,12.12,8.07,49.98,0.21,2.11,48.61,91.93,99.79,15.27,22.42,58.87,ALBANY HIGH SCHOOL,1,ALBANY,2015
10100860907,0.0,0.4,93.23,73.71,0.0,0.0,95.22,3.19,0.4,100.0,0.0,0.0,26.29,99.6,100.0,4.78,3.19,82.07,GREEN TECH HIGH CHARTER SCHOOL,1,ALBANY,2015
10100860960,0.0,4.04,83.86,66.37,100.0,0.9,99.55,8.97,3.14,0.0,0.0,0.0,33.63,96.86,100.0,0.45,3.14,64.57,ALBANY LEADERSHIP CHARTER HS-GIRLS,1,ALBANY,2015
10201040001,0.0,0.64,0.96,26.37,45.66,0.64,81.35,0.96,0.0,54.34,0.0,1.29,73.63,100.0,100.0,18.65,96.14,88.75,BERNE-KNOX-WESTERLO JUNIOR-SENIOR HS,1,ALBANY,2015
10306060008,0.25,5.35,1.97,8.36,47.23,0.12,95.45,2.34,0.31,52.77,0.0,0.49,91.64,99.69,100.0,4.55,89.61,94.53,BETHLEHEM CENTRAL SENIOR HIGH SCHOOL,1,ALBANY,2015
10402060001,0.33,0.5,4.46,27.23,50.5,0.0,88.94,4.46,0.5,49.5,0.0,0.5,72.77,99.5,100.0,11.06,89.77,91.42,RAVENA-COEYMANS-SELKIRK SR HS,1,ALBANY,2015
10500010007,0.0,1.25,10.73,54.03,51.52,0.18,87.66,6.62,0.36,48.48,0.0,4.11,45.97,99.64,100.0,12.34,77.28,82.47,COHOES HIGH SCHOOL,1,ALBANY,2015
10601060008,0.06,6.22,8.47,18.73,49.74,0.46,87.26,5.01,1.1,50.26,0.0,3.23,81.27,98.9,100.0,12.74,77.0,90.03,COLONIE CENTRAL HIGH SCHOOL,1,ALBANY,2015
10623060010,0.05,9.18,8.35,14.31,48.51,0.49,87.01,3.22,1.42,51.49,0.0,0.88,85.69,98.58,100.0,12.99,78.31,93.99,SHAKER HIGH SCHOOL,1,ALBANY,2015
10701030001,0.0,2.82,5.63,56.34,53.52,0.0,88.73,1.41,0.0,46.48,0.0,1.41,43.66,100.0,100.0,11.27,88.73,64.79,HEATLY SCHOOL,1,ALBANY,2015
10802060005,0.0,6.71,4.45,10.98,51.95,0.43,85.85,2.44,0.85,48.05,0.0,1.28,89.02,99.15,100.0,14.15,85.12,95.18,GUILDERLAND HIGH SCHOOL,1,ALBANY,2015
11003060002,0.0,3.7,1.59,11.64,42.06,0.0,91.8,1.32,0.26,57.94,0.0,1.59,88.36,99.74,100.0,8.2,91.8,96.03,CLAYTON A BOUTON HIGH SCHOOL,1,ALBANY,2015
11200010010,0.0,4.72,11.56,63.68,53.3,0.71,84.67,8.49,0.94,46.7,0.0,2.36,36.32,99.06,100.0,15.33,72.88,77.12,WATERVLIET JUNIOR-SENIOR HIGH SCHOOL,1,ALBANY,2015
20101040002,0.0,4.95,0.5,28.71,49.01,0.0,90.1,0.99,0.0,50.99,0.0,0.0,71.29,100.0,100.0,9.9,93.56,96.04,ALFRED-ALMOND JUNIOR-SENIOR HIGH SCH,2,ALLEGANY,2015
20601040001,0.0,0.0,0.0,43.4,50.0,0.0,92.45,0.0,0.0,50.0,0.0,0.0,56.6,100.0,100.0,7.55,100.0,90.57,ANDOVER SCHOOL,2,ALLEGANY,2015
20702040001,0.0,0.0,1.2,41.32,43.71,0.0,84.43,0.0,0.0,56.29,0.0,0.0,58.68,100.0,100.0,15.57,98.8,88.02,GENESEE VALLEY CENTRAL SCHOOL,2,ALLEGANY,2015
20801040001,0.0,0.0,0.0,41.58,46.53,0.0,81.19,5.94,0.0,53.47,1.98,0.99,58.42,100.0,98.02,18.81,93.07,79.21,BELFAST SCHOOL,2,ALLEGANY,2015
21102040001,0.0,0.0,0.0,50.0,47.37,0.0,93.42,0.0,0.0,52.63,0.0,0.0,50.0,100.0,100.0,6.58,100.0,98.68,CANASERAGA SCHOOL,2,ALLEGANY,2015
21601040004,0.0,0.0,0.0,63.11,49.51,0.0,79.61,0.0,0.0,50.49,1.94,0.97,36.89,100.0,98.06,20.39,99.03,89.32,FRIENDSHIP CENTRAL SCHOOL,2,ALLEGANY,2015
22001040001,0.93,0.0,0.93,30.09,47.69,0.0,86.57,0.0,0.0,52.31,0.0,0.0,69.91,100.0,100.0,13.43,98.15,91.67,FILLMORE CENTRAL SCHOOL,2,ALLEGANY,2015
22101040001,0.0,0.0,0.0,49.25,46.27,0.0,88.06,0.0,0.0,53.73,0.0,1.49,50.75,100.0,100.0,11.94,98.51,94.03,WHITESVILLE CENTRAL SCHOOL,2,ALLEGANY,2015
22302040001,0.0,0.0,1.52,36.5,46.77,0.38,87.83,0.76,0.0,53.23,0.38,1.14,63.5,100.0,99.62,12.17,96.58,92.78,CUBA-RUSHFORD HIGH SCHOOL,2,ALLEGANY,2015
22401040003,0.0,0.0,1.9,53.33,46.67,0.0,91.43,0.0,0.0,53.33,0.0,0.95,46.67,100.0,100.0,8.57,97.14,93.33,SCIO CENTRAL SCHOOL,2,ALLEGANY,2015
22601060004,0.0,1.81,0.0,35.14,45.48,0.0,87.34,0.0,0.0,54.52,0.0,0.52,64.86,100.0,100.0,12.66,97.67,82.69,WELLSVILLE SENIOR HIGH SCHOOL,2,ALLEGANY,2015
22902040001,0.0,0.0,1.3,50.22,59.31,0.0,88.31,0.87,0.0,40.69,0.0,0.87,49.78,100.0,100.0,11.69,96.97,85.28,BOLIVAR-RICHBURG JUNIOR-SENIOR HS,2,ALLEGANY,2015
22902040002,0.0,0.0,0.0,50.0,100.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,100.0,50.0,100.0,0.0,BOLIVAR-RICHBURG ELEMENTARY SCHOOL,2,ALLEGANY,2015
30101060003,0.47,0.24,2.13,30.33,44.08,0.0,84.12,0.95,0.0,55.92,0.0,0.71,69.67,100.0,100.0,15.88,95.5,95.73,CHENANGO FORKS HIGH SCHOOL,3,BROOME,2015
30200010021,0.25,3.25,25.22,60.38,50.0,0.25,84.59,10.83,1.66,50.0,0.0,4.08,39.62,98.34,100.0,15.41,56.37,66.94,BINGHAMTON HIGH SCHOOL,3,BROOME,2015
30501040003,0.0,1.3,1.3,48.26,50.87,0.0,85.22,0.43,0.0,49.13,0.0,0.0,51.74,100.0,100.0,14.78,96.96,93.48,HARPURSVILLE JUNIOR-SENIOR HIGH SCH,3,BROOME,2015
30601060006,0.0,0.37,1.11,32.04,48.7,0.19,86.85,1.67,0.0,51.3,0.0,3.15,67.96,100.0,100.0,13.15,93.7,92.22,SUSQUEHANNA VALLEY SENIOR HIGH SCH,3,BROOME,2015
30701060001,0.0,1.52,2.46,30.49,51.14,0.0,83.33,0.95,0.0,48.86,0.0,1.52,69.51,100.0,100.0,16.67,93.56,92.61,CHENANGO VALLEY HIGH SCHOOL,3,BROOME,2015
31101060006,0.14,1.93,2.35,23.76,47.24,0.55,84.67,1.1,0.0,52.76,0.0,1.1,76.24,100.0,100.0,15.33,93.37,95.44,MAINE-ENDWELL SENIOR HIGH SCHOOL,3,BROOME,2015
31301040003,1.37,0.68,4.11,52.74,52.05,0.0,82.19,0.68,0.0,47.95,0.0,0.0,47.26,100.0,100.0,17.81,93.15,91.78,DEPOSIT MIDDLE-SENIOR HIGH SCHOOL,3,BROOME,2015
31401060004,0.0,1.47,0.98,46.57,50.25,0.0,81.62,0.49,0.0,49.75,0.0,0.25,53.43,100.0,100.0,18.38,96.81,77.45,WHITNEY POINT SENIOR HIGH SCHOOL,3,BROOME,2015
31501060012,0.08,3.07,6.05,34.74,51.24,0.25,85.74,3.9,0.08,48.76,0.0,4.64,65.26,99.92,100.0,14.26,82.26,89.39,UNION-ENDICOTT HIGH SCHOOL,3,BROOME,2015
31502060006,0.69,6.46,11.55,52.13,50.76,0.14,83.49,7.29,1.79,49.24,0.0,2.2,47.87,98.21,100.0,16.51,71.8,87.9,JOHNSON CITY SENIOR HIGH SCHOOL,3,BROOME,2015
31601060051,0.27,8.05,2.99,14.3,51.22,0.18,88.87,1.99,0.45,48.78,0.09,0.72,85.7,99.55,99.91,11.13,85.97,95.38,VESTAL SENIOR HIGH SCHOOL,3,BROOME,2015
31701060007,0.17,1.57,2.62,41.19,44.33,0.17,87.96,0.52,0.0,55.67,0.0,0.0,58.81,100.0,100.0,12.04,95.11,93.37,WINDSOR CENTRAL HIGH SCHOOL,3,BROOME,2015
40204040001,0.0,0.0,0.88,29.2,53.98,0.0,94.69,1.77,0.0,46.02,0.0,0.0,70.8,100.0,100.0,5.31,97.35,91.15,WEST VALLEY CENTRAL SCHOOL,4,CATTARAUGUS,2015
40302060001,0.85,3.4,2.83,30.03,50.42,0.0,89.8,2.27,0.0,49.58,0.0,1.13,69.97,100.0,100.0,10.2,89.52,88.39,ALLEGANY-LIMESTONE HIGH SCHOOL,4,CATTARAUGUS,2015
40901040002,2.25,4.49,0.0,26.4,49.44,0.0,89.33,1.12,0.0,50.56,0.0,0.0,73.6,100.0,100.0,10.67,92.13,93.26,ELLICOTTVILLE MIDDLE/HIGH SCHOOL,4,CATTARAUGUS,2015
41101040002,0.0,0.0,0.85,41.28,45.53,0.0,87.66,0.85,0.0,54.47,0.0,0.0,58.72,100.0,100.0,12.34,98.3,93.19,FRANKLINVILLE JUNIOR-SENIOR HIGH SCH,4,CATTARAUGUS,2015
41401040001,0.94,3.77,0.0,60.38,49.06,2.83,92.45,1.89,0.0,50.94,0.0,0.94,39.62,100.0,100.0,7.55,92.45,80.19,HINSDALE CENTRAL SCHOOL,4,CATTARAUGUS,2015
42302040003,1.39,0.0,2.44,45.3,52.26,0.0,78.4,1.39,0.0,47.74,0.0,2.44,54.7,100.0,100.0,21.6,92.33,82.23,CATTARAUGUS-LITTLE VALLEY HS,4,CATTARAUGUS,2015
42400010013,1.93,2.25,6.42,36.76,49.28,0.16,88.28,0.96,0.0,50.72,0.0,1.77,63.24,100.0,100.0,11.72,86.68,83.63,OLEAN SENIOR HIGH SCHOOL,4,CATTARAUGUS,2015
42801060006,19.0,0.5,1.0,40.0,49.25,0.0,88.5,2.25,0.0,50.75,0.0,4.25,60.0,100.0,100.0,11.5,73.0,83.25,GOWANDA HIGH SCHOOL,4,CATTARAUGUS,2015
42901040002,0.0,0.35,1.39,31.25,46.88,0.0,86.81,0.69,0.0,53.12,0.0,0.35,68.75,100.0,100.0,13.19,97.22,92.36,PORTVILLE JUNIOR-SENIOR HIGH SCHOOL,4,CATTARAUGUS,2015
43001040002,2.41,0.0,0.34,41.24,45.36,0.69,89.0,2.75,0.34,54.64,0.69,0.0,58.76,99.66,99.31,11.0,94.5,93.81,RANDOLPH SENIOR HIGH SCHOOL,4,CATTARAUGUS,2015
43011020001,0.0,0.0,0.0,100.0,44.44,0.0,66.67,0.0,0.0,55.56,0.0,0.0,0.0,100.0,100.0,33.33,100.0,0.0,RANDOLPH ACADEMY,4,CATTARAUGUS,2015
43200050002,38.54,0.0,2.34,44.27,48.44,0.0,84.38,1.82,0.26,51.56,0.0,0.0,55.73,99.74,100.0,15.62,57.29,68.23,SALAMANCA JUNIOR/SENIOR HIGH SCHOOL,4,CATTARAUGUS,2015
43501060006,0.92,0.66,0.79,44.04,50.59,0.0,88.07,1.31,0.0,49.41,0.0,0.0,55.96,100.0,100.0,11.93,96.33,89.38,PIONEER SENIOR HIGH SCHOOL,4,CATTARAUGUS,2015
50100010013,0.44,1.83,7.69,35.68,53.04,0.15,91.28,3.22,0.07,46.96,0.0,1.1,64.32,99.93,100.0,8.72,85.71,79.71,AUBURN HIGH SCHOOL,5,CAYUGA,2015
50301040002,0.36,1.81,1.45,22.83,44.57,0.0,87.68,1.45,0.0,55.43,0.0,1.81,77.17,100.0,100.0,12.32,93.12,93.12,WEEDSPORT JUNIOR-SENIOR HIGH SCHOOL,5,CAYUGA,2015
50301040003,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,100.0,100.0,100.0,50.0,100.0,0.0,WEEDSPORT ELEMENTARY SCHOOL,5,CAYUGA,2015
50401040003,1.85,0.31,0.31,32.92,44.0,0.0,92.62,0.92,0.0,56.0,0.0,1.85,67.08,100.0,100.0,7.38,94.77,92.92,CATO-MERIDIAN SENIOR HIGH SCHOOL,5,CAYUGA,2015
50701040005,0.47,0.47,0.94,34.27,45.07,0.0,93.43,0.94,0.0,54.93,0.0,0.0,65.73,100.0,100.0,6.57,97.18,90.61,SOUTHERN CAYUGA 7-12 SECONDARY SCH,5,CAYUGA,2015
51101040004,0.68,0.0,2.38,34.35,49.66,0.0,86.73,2.04,0.0,50.34,0.34,0.34,65.65,100.0,99.66,13.27,94.56,85.37,PORT BYRON SENIOR HIGH SCHOOL,5,CAYUGA,2015
51301040003,0.0,0.37,0.0,35.53,46.52,0.0,90.84,0.0,0.37,53.48,0.37,0.73,64.47,99.63,99.63,9.16,98.9,89.01,MORAVIA JUNIOR-SENIOR HIGH SCHOOL,5,CAYUGA,2015
51901040005,0.0,1.31,0.98,28.43,47.71,0.33,91.18,1.31,0.65,52.29,0.65,1.96,71.57,99.35,99.35,8.82,94.44,92.48,UNION SPRINGS MIDDLE/HIGH SCHOOL,5,CAYUGA,2015
60201060003,0.23,2.3,0.69,24.65,49.08,0.23,88.48,1.61,0.23,50.92,0.0,0.0,75.35,99.77,100.0,11.52,95.16,93.78,SOUTHWESTERN SENIOR HIGH SCHOOL,6,CHAUTAUQUA,2015
60301040004,0.39,0.77,0.77,33.2,52.12,0.0,83.4,0.77,0.0,47.88,0.0,0.0,66.8,100.0,100.0,16.6,97.3,91.89,FREWSBURG JUNIOR-SENIOR HIGH SCH,6,CHAUTAUQUA,2015
60401040006,0.29,0.0,1.44,46.11,48.99,0.0,90.49,1.15,0.0,51.01,0.0,0.58,53.89,100.0,100.0,9.51,96.54,90.49,CASSADAGA VALLEY MIDDLE/HIGH SCHOOL,6,CHAUTAUQUA,2015
60503040001,0.0,0.73,0.36,27.64,49.09,0.0,88.0,0.0,0.0,50.91,0.36,2.55,72.36,100.0,99.64,12.0,96.36,96.36,CHAUTAUQUA LAKE SECONDARY SCHOOL,6,CHAUTAUQUA,2015
60601040003,2.19,0.0,0.0,34.43,48.09,0.0,91.8,0.55,0.0,51.91,0.0,0.55,65.57,100.0,100.0,8.2,96.72,89.07,PINE VALLEY CENTRAL JR-SR HIGH SCH,6,CHAUTAUQUA,2015
60701040003,0.0,0.0,0.0,32.12,53.28,0.0,89.05,0.73,0.0,46.72,0.0,0.73,67.88,100.0,100.0,10.95,98.54,94.16,CLYMER CENTRAL SCHOOL,6,CHAUTAUQUA,2015
60800010009,0.0,0.0,6.44,58.74,48.62,1.38,91.26,38.65,6.9,51.38,1.84,1.23,41.26,93.1,98.16,8.74,53.68,77.3,DUNKIRK SENIOR HIGH SCHOOL,6,CHAUTAUQUA,2015
61001040005,0.0,0.43,0.43,10.3,44.64,0.0,94.42,0.43,0.0,55.36,0.0,0.0,89.7,100.0,100.0,5.58,98.71,97.85,MAPLE GROVE JUNIOR/SENIOR HIGH,6,CHAUTAUQUA,2015
61101040007,0.25,0.75,1.01,33.92,47.74,0.0,91.21,1.51,0.0,52.26,0.0,0.25,66.08,100.0,100.0,8.79,96.23,88.94,FALCONER MIDDLE/HIGH SCHOOL,6,CHAUTAUQUA,2015
61501040001,15.67,0.0,1.57,37.93,47.02,0.0,87.15,5.96,0.0,52.98,0.63,2.51,62.07,100.0,99.37,12.85,74.29,83.07,SILVER CREEK HIGH SCHOOL,6,CHAUTAUQUA,2015
