AGGREGATION_CODE,AMERICAN INDIAN OR ALASKA NATIVE,ASIAN OR PACIFIC ISLANDER,BLACK,ECONOMICALLY DISADVANTAGED,LIMITED ENGLISH PROFICIENT,FEMALE,GENERAL EDUCATION STUDENTS,HISPANIC,MALE,MIGRANT,MULTIRACIAL,NOT LIMITED ENGLISH PROFICIENT,NOT ECONOMICALLY DISADVANTAGED,NOT MIGRANT,STUDENTS WITH DISABILITIES,WHITE,PCT_GRAD,AGGREGATION_NAME,COUNTY_CODE,COUNTY_NAME,YEAR
10100010034,0.0,8.7,54.9,50.64,6.61,51.58,84.04,13.13,48.42,0.0,0.0,93.39,49.36,0.0,15.96,20.76,62.58,ALBANY HIGH SCHOOL,1,ALBANY,2016
10100860907,0.0,0.0,68.05,74.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.94,0.0,0.0,0.0,87.22,GREEN TECH HIGH CHARTER SCHOOL,1,ALBANY,2016
10100860960,0.0,0.0,84.31,73.2,0.0,0.0,0.0,5.23,0.0,0.0,0.0,0.0,26.8,0.0,0.0,0.0,69.28,ALBANY LEADERSHIP CHARTER HS-GIRLS,1,ALBANY,2016
10201040001,0.0,0.0,0.0,33.22,0.0,47.7,82.69,0.0,52.3,0.0,0.0,0.0,66.78,0.0,17.31,0.0,86.93,BERNE-KNOX-WESTERLO JUNIOR-SENIOR HS,1,ALBANY,2016
10306060008,0.0,4.6,1.84,10.87,0.0,47.58,94.35,1.17,52.42,0.0,0.0,0.0,89.13,0.0,5.65,90.48,94.29,BETHLEHEM CENTRAL SENIOR HIGH SCHOOL,1,ALBANY,2016
10402060001,0.0,0.0,3.1,28.92,0.0,47.06,88.89,3.59,52.94,0.0,0.0,0.0,71.08,0.0,11.11,89.22,88.07,RAVENA-COEYMANS-SELKIRK SR HS,1,ALBANY,2016
10500010007,0.0,0.0,12.21,58.41,0.0,51.15,86.73,6.9,48.85,0.0,0.0,0.0,41.59,0.0,13.27,75.75,77.35,COHOES HIGH SCHOOL,1,ALBANY,2016
10601060008,0.0,6.95,7.94,20.45,1.33,48.96,86.38,6.78,51.04,0.0,1.68,71.96,79.55,0.0,13.62,75.14,90.32,COLONIE CENTRAL HIGH SCHOOL,1,ALBANY,2016
10623060010,0.0,10.19,6.5,16.49,0.94,48.62,87.45,3.54,51.38,0.0,1.08,74.66,83.51,0.0,12.55,78.44,93.85,SHAKER HIGH SCHOOL,1,ALBANY,2016
10701030001,0.0,0.0,0.0,61.54,0.0,50.0,0.0,0.0,38.46,0.0,0.0,0.0,26.92,0.0,0.0,46.15,69.23,HEATLY SCHOOL,1,ALBANY,2016
10802060005,0.0,7.58,4.63,14.02,0.0,52.05,85.92,2.53,47.95,0.0,1.93,0.0,85.98,0.0,14.08,83.33,94.95,GUILDERLAND HIGH SCHOOL,1,ALBANY,2016
11003060002,0.0,0.0,0.0,12.31,0.0,45.38,92.31,0.0,54.62,0.0,0.0,0.0,87.69,0.0,7.69,45.13,95.13,CLAYTON A BOUTON HIGH SCHOOL,1,ALBANY,2016
11200010010,0.0,3.4,9.98,66.44,0.0,47.17,85.71,10.43,52.83,0.0,2.27,0.0,33.56,0.0,14.29,70.98,78.91,WATERVLIET JUNIOR-SENIOR HIGH SCHOOL,1,ALBANY,2016
20101040002,0.0,0.0,0.0,33.17,0.0,46.63,89.42,0.0,53.37,0.0,0.0,0.0,66.83,0.0,10.58,23.08,94.23,ALFRED-ALMOND JUNIOR-SENIOR HIGH SCH,2,ALLEGANY,2016
20601040001,0.0,0.0,0.0,41.0,0.0,51.0,0.0,0.0,49.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,90.0,ANDOVER SCHOOL,2,ALLEGANY,2016
20702040001,0.0,0.0,0.0,44.5,0.0,46.6,38.74,0.0,53.4,0.0,0.0,0.0,55.5,0.0,6.81,0.0,90.58,GENESEE VALLEY CENTRAL SCHOOL,2,ALLEGANY,2016
20801040001,0.0,0.0,0.0,35.53,0.0,38.16,14.47,0.0,61.84,0.0,0.0,0.0,64.47,0.0,7.89,0.0,84.21,BELFAST SCHOOL,2,ALLEGANY,2016
21102040001,0.0,0.0,0.0,51.95,0.0,36.36,0.0,0.0,63.64,0.0,0.0,0.0,48.05,0.0,0.0,0.0,92.21,CANASERAGA SCHOOL,2,ALLEGANY,2016
21601040004,0.0,0.0,0.0,57.45,0.0,54.26,21.28,0.0,45.74,0.0,0.0,0.0,42.55,0.0,6.38,0.0,90.43,FRIENDSHIP CENTRAL SCHOOL,2,ALLEGANY,2016
22001040001,0.0,0.0,0.0,40.53,0.0,52.63,86.32,0.0,47.37,0.0,0.0,0.0,59.47,0.0,13.68,0.0,94.21,FILLMORE CENTRAL SCHOOL,2,ALLEGANY,2016
22101040001,0.0,0.0,0.0,39.74,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,60.26,0.0,0.0,0.0,93.59,WHITESVILLE CENTRAL SCHOOL,2,ALLEGANY,2016
22302040001,0.0,0.0,0.0,38.27,0.0,44.77,42.96,0.0,55.23,0.0,0.0,0.0,61.73,0.0,5.78,47.65,92.06,CUBA-RUSHFORD HIGH SCHOOL,2,ALLEGANY,2016
22401040003,0.0,0.0,0.0,61.11,0.0,47.22,0.0,0.0,52.78,0.0,0.0,0.0,38.89,0.0,0.0,0.0,96.3,SCIO CENTRAL SCHOOL,2,ALLEGANY,2016
22601060004,0.0,0.0,0.0,40.68,0.0,47.7,85.96,0.0,52.3,0.0,0.0,0.0,59.32,0.0,14.04,48.91,84.5,WELLSVILLE SENIOR HIGH SCHOOL,2,ALLEGANY,2016
22902040001,0.0,0.0,0.0,48.95,0.0,58.23,89.45,0.0,41.77,0.0,0.0,0.0,51.05,0.0,10.55,0.0,89.45,BOLIVAR-RICHBURG JUNIOR-SENIOR HS,2,ALLEGANY,2016
30101060003,0.0,0.0,0.0,31.67,0.0,47.62,83.57,0.0,52.38,0.0,0.0,0.0,68.33,0.0,16.43,71.19,97.38,CHENANGO FORKS HIGH SCHOOL,3,BROOME,2016
30200010021,0.0,0.75,26.39,61.54,1.75,51.91,85.93,9.82,48.09,0.0,4.13,98.25,38.46,0.0,14.07,56.1,68.29,BINGHAMTON HIGH SCHOOL,3,BROOME,2016
30501040003,0.0,0.0,0.0,48.99,0.0,47.37,79.35,0.0,52.63,0.0,0.0,0.0,51.01,0.0,20.65,0.0,92.71,HARPURSVILLE JUNIOR-SENIOR HIGH SCH,3,BROOME,2016
30601060006,0.0,0.0,0.0,31.33,0.0,50.66,85.18,0.0,49.34,0.0,0.94,0.0,68.67,0.0,14.82,92.87,91.56,SUSQUEHANNA VALLEY SENIOR HIGH SCH,3,BROOME,2016
30701060001,0.0,2.07,1.24,36.16,0.0,52.69,84.71,0.0,47.31,0.0,0.0,0.0,63.84,0.0,15.29,90.29,92.77,CHENANGO VALLEY HIGH SCHOOL,3,BROOME,2016
31101060006,0.0,0.0,2.2,27.46,0.0,50.52,85.88,1.3,49.48,0.0,0.0,0.0,72.54,0.0,14.12,92.49,95.34,MAINE-ENDWELL SENIOR HIGH SCHOOL,3,BROOME,2016
31301040003,0.0,0.0,0.0,56.41,0.0,47.44,67.31,0.0,52.56,0.0,0.0,0.0,43.59,0.0,14.1,0.0,96.79,DEPOSIT MIDDLE-SENIOR HIGH SCHOOL,3,BROOME,2016
