AGGREGATION_CODE,AMERICAN INDIAN OR ALASKA NATIVE,ASIAN OR PACIFIC ISLANDER,BLACK,ECONOMICALLY DISADVANTAGED,LIMITED ENGLISH PROFICIENT,FEMALE,GENERAL EDUCATION STUDENTS,HISPANIC,MALE,MIGRANT,MULTIRACIAL,NOT ECONOMICALLY DISADVANTAGED,NOT LIMITED ENGLISH PROFICIENT,NOT MIGRANT,STUDENTS WITH DISABILITIES,WHITE,PCT_GRAD,AGGREGATION_NAME,COUNTY_CODE,COUNTY_NAME,YEAR
10100010034,0.0,8.03,55.35,49.46,7.24,50.22,85.25,13.8,49.78,0.0,0.0,50.54,92.76,0.0,14.75,20.0,66.56,ALBANY HIGH SCHOOL,1,ALBANY,2017
10100860907,0.0,0.0,62.82,62.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.18,0.0,0.0,0.0,0.0,92.31,GREEN TECH HIGH CHARTER SCHOOL,1,ALBANY,2017
10100860960,0.0,5.61,76.49,74.39,0.0,0.0,45.61,7.72,0.0,0.0,0.0,25.61,0.0,0.0,3.51,0.0,70.53,ALBANY LEADERSHIP CHARTER HS-GIRLS,1,ALBANY,2017
10201040001,0.0,0.0,0.0,29.1,0.0,44.4,85.82,0.0,55.6,0.0,0.0,70.9,0.0,0.0,14.18,0.0,92.16,BERNE-KNOX-WESTERLO JUNIOR-SENIOR HS,1,ALBANY,2017
10306060008,0.0,6.5,0.95,11.74,0.0,49.94,94.0,2.53,50.06,0.0,0.0,88.26,0.0,0.0,6.0,87.37,94.7,BETHLEHEM CENTRAL SENIOR HIGH SCHOOL,1,ALBANY,2017
10402060001,0.0,0.0,4.95,32.16,0.0,45.41,87.81,1.24,54.59,0.0,0.0,67.84,0.0,0.0,12.19,87.99,87.63,RAVENA-COEYMANS-SELKIRK SR HS,1,ALBANY,2017
10500010007,0.0,0.0,9.21,58.2,0.0,50.46,87.85,3.87,49.54,0.0,0.0,41.8,0.0,0.0,12.15,80.66,80.29,COHOES HIGH SCHOOL,1,ALBANY,2017
10601060008,0.0,8.02,7.4,22.2,0.56,48.76,84.95,6.09,51.24,0.0,3.3,77.8,25.87,0.0,15.05,74.38,92.29,COLONIE CENTRAL HIGH SCHOOL,1,ALBANY,2017
10623060010,0.0,12.94,7.18,18.6,0.0,49.45,88.95,4.14,50.55,0.0,1.26,81.4,0.0,0.0,11.05,74.49,93.98,SHAKER HIGH SCHOOL,1,ALBANY,2017
10701030001,0.0,0.0,0.0,55.26,0.0,48.68,0.0,0.0,51.32,0.0,0.0,44.74,0.0,0.0,0.0,22.37,80.26,HEATLY SCHOOL,1,ALBANY,2017
10802060005,0.0,8.11,4.76,15.55,0.0,50.73,87.07,3.48,49.27,0.0,2.07,84.45,0.0,0.0,12.93,81.59,95.49,GUILDERLAND HIGH SCHOOL,1,ALBANY,2017
11003060002,0.0,0.0,0.0,10.05,0.0,45.1,89.95,0.0,54.9,0.0,0.0,89.95,0.0,0.0,10.05,69.33,97.68,CLAYTON A BOUTON HIGH SCHOOL,1,ALBANY,2017
11200010010,0.0,6.33,17.19,65.38,0.0,45.93,83.71,7.69,54.07,0.0,3.85,34.62,0.0,0.0,16.29,63.57,79.64,WATERVLIET JUNIOR-SENIOR HIGH SCHOOL,1,ALBANY,2017
20101040002,0.0,0.0,0.0,34.74,0.0,41.58,85.79,0.0,58.42,0.0,0.0,65.26,0.0,0.0,14.21,0.0,93.68,ALFRED-ALMOND JUNIOR-SENIOR HIGH SCH,2,ALLEGANY,2017
20601040001,0.0,0.0,0.0,41.75,0.0,40.78,0.0,0.0,59.22,0.0,0.0,58.25,0.0,0.0,0.0,0.0,93.2,ANDOVER SCHOOL,2,ALLEGANY,2017
20702040001,0.0,0.0,0.0,45.45,0.0,45.99,60.43,0.0,54.01,0.0,0.0,54.55,0.0,0.0,11.76,0.0,91.98,GENESEE VALLEY CENTRAL SCHOOL,2,ALLEGANY,2017
20801040001,0.0,0.0,0.0,48.94,0.0,42.55,0.0,0.0,57.45,0.0,0.0,51.06,0.0,0.0,0.0,0.0,87.23,BELFAST SCHOOL,2,ALLEGANY,2017
21102040001,0.0,0.0,0.0,51.47,0.0,25.0,0.0,0.0,36.76,0.0,0.0,48.53,0.0,0.0,0.0,0.0,82.35,CANASERAGA SCHOOL,2,ALLEGANY,2017
21601040004,0.0,0.0,0.0,65.93,0.0,61.54,21.98,0.0,38.46,0.0,0.0,34.07,0.0,0.0,6.59,0.0,89.01,FRIENDSHIP CENTRAL SCHOOL,2,ALLEGANY,2017
22001040001,0.0,0.0,0.0,45.24,0.0,50.6,27.38,0.0,49.4,0.0,0.0,54.76,0.0,0.0,3.57,0.0,94.05,FILLMORE CENTRAL SCHOOL,2,ALLEGANY,2017
22101040001,0.0,0.0,0.0,41.76,0.0,50.55,0.0,0.0,49.45,0.0,0.0,58.24,0.0,0.0,0.0,0.0,94.51,WHITESVILLE CENTRAL SCHOOL,2,ALLEGANY,2017
22302040001,0.0,0.0,0.0,44.49,0.0,48.98,58.78,0.0,51.02,0.0,0.0,55.51,0.0,0.0,12.24,68.57,91.02,CUBA-RUSHFORD HIGH SCHOOL,2,ALLEGANY,2017
22401040003,0.0,0.0,0.0,55.06,0.0,57.3,0.0,0.0,42.7,0.0,0.0,44.94,0.0,0.0,0.0,0.0,97.75,SCIO CENTRAL SCHOOL,2,ALLEGANY,2017
22601060004,0.0,0.0,0.0,40.47,0.0,53.79,88.51,0.0,46.21,0.0,0.0,59.53,0.0,0.0,11.49,25.85,90.6,WELLSVILLE SECONDARY SCHOOL,2,ALLEGANY,2017
22902040001,0.0,0.0,0.0,53.36,0.0,55.46,89.5,0.0,44.54,0.0,0.0,46.64,0.0,0.0,10.5,0.0,92.02,BOLIVAR-RICHBURG JUNIOR-SENIOR HS,2,ALLEGANY,2017
30101060003,0.0,0.0,0.0,32.64,0.0,44.14,86.21,0.0,55.86,0.0,0.0,67.36,0.0,0.0,13.79,71.95,97.7,CHENANGO FORKS HIGH SCHOOL,3,BROOME,2017
30200010021,0.0,2.68,27.24,65.46,2.12,52.74,85.54,10.41,47.26,0.0,4.3,34.54,97.88,0.0,14.46,53.55,68.64,BINGHAMTON HIGH SCHOOL,3,BROOME,2017
30501040003,0.0,0.0,0.0,49.0,0.0,47.79,83.94,0.0,52.21,0.0,0.0,51.0,0.0,0.0,16.06,0.0,92.77,HARPURSVILLE JUNIOR-SENIOR HIGH SCH,3,BROOME,2017
30601060006,0.0,0.0,1.86,35.75,0.0,49.53,86.03,0.0,50.47,0.0,0.93,64.25,0.0,0.0,13.97,92.36,90.13,SUSQUEHANNA VALLEY SENIOR HIGH SCH,3,BROOME,2017
30701060001,0.0,0.94,0.0,32.02,0.0,46.25,83.52,0.0,53.75,0.0,0.0,67.98,0.0,0.0,16.48,94.38,94.94,CHENANGO VALLEY HIGH SCHOOL,3,BROOME,2017
31101060006,0.0,0.0,3.62,29.26,0.0,51.14,88.46,0.67,48.86,0.0,0.0,70.74,0.0,0.0,11.54,91.81,96.51,MAINE-ENDWELL SENIOR HIGH SCHOOL,3,BROOME,2017
31301040003,0.0,0.0,0.0,62.42,0.0,51.68,24.83,0.0,48.32,0.0,0.0,37.58,0.0,0.0,3.36,0.0,99.33,DEPOSIT MIDDLE-SENIOR HIGH SCHOOL,3,BROOME,2017
31401060004,0.0,0.0,0.0,50.37,0.0,50.12,83.29,0.0,49.88,0.0,0.0,49.63,0.0,0.0,16.71,28.75,81.57,WHITNEY POINT SENIOR HIGH SCHOOL,3,BROOME,2017
31501060012,0.0,1.49,6.58,39.42,0.0,47.41,86.57,7.55,52.59,0.0,4.83,60.58,0.0,0.0,13.43,78.31,91.13,UNION-ENDICOTT HIGH SCHOOL,3,BROOME,2017
31502060006,0.0,3.84,12.19,60.82,0.0,54.11,84.66,8.22,45.89,0.0,4.11,39.18,0.0,0.0,15.34,66.3,85.75,JOHNSON CITY SENIOR HIGH SCHOOL,3,BROOME,2017
31601060051,0.0,6.61,3.93,17.72,0.0,51.53,87.84,0.0,48.47,0.0,0.0,82.28,0.0,0.0,12.16,85.54,95.69,VESTAL SENIOR HIGH SCHOOL,3,BROOME,2017
31701060007,0.0,0.0,0.0,46.3,0.0,42.96,89.81,0.0,57.04,0.0,0.0,53.7,0.0,0.0,10.19,94.07,93.15,WINDSOR CENTRAL HIGH SCHOOL,3,BROOME,2017
40204040001,0.0,0.0,0.0,32.38,0.0,54.29,38.1,0.0,45.71,0.0,0.0,67.62,0.0,0.0,9.52,0.0,89.52,WEST VALLEY CENTRAL SCHOOL,4,CATTARAUGUS,2017
40302060001,0.0,0.0,0.0,30.61,0.0,54.24,91.21,0.0,45.76,0.0,0.0,69.39,0.0,0.0,8.79,91.52,87.88,ALLEGANY-LIMESTONE MIDDLE-HIGH,4,CATTARAUGUS,2017
40901040002,0.0,0.0,0.0,24.44,0.0,47.78,67.78,0.0,52.22,0.0,0.0,75.56,0.0,0.0,12.78,0.0,96.11,ELLICOTTVILLE MIDDLE/HIGH SCHOOL,4,CATTARAUGUS,2017
41101040002,0.0,0.0,0.0,42.48,0.0,47.79,45.58,0.0,52.21,0.0,0.0,57.52,0.0,0.0,6.64,0.0,96.02,FRANKLINVILLE JUNIOR-SENIOR HIGH SCH,4,CATTARAUGUS,2017
41401040001,0.0,0.0,0.0,51.38,0.0,51.38,44.04,0.0,48.62,0.0,0.0,48.62,0.0,0.0,9.17,0.0,82.57,HINSDALE CENTRAL SCHOOL,4,CATTARAUGUS,2017
42302040003,0.0,0.0,0.0,44.37,0.0,53.38,78.14,0.0,46.62,0.0,0.0,55.63,0.0,0.0,21.86,70.42,84.57,CATTARAUGUS-LITTLE VALLEY HS,4,CATTARAUGUS,2017
42400010013,0.0,0.0,8.18,49.24,0.0,49.7,88.64,1.82,50.3,0.0,2.58,50.76,0.0,0.0,11.36,83.03,83.18,OLEAN SENIOR HIGH SCHOOL,4,CATTARAUGUS,2017
42801060006,19.4,0.0,0.0,55.19,0.0,46.45,86.34,0.0,53.55,0.0,0.0,44.81,0.0,0.0,13.66,72.13,84.15,GOWANDA HIGH SCHOOL,4,CATTARAUGUS,2017
42901040002,0.0,0.0,0.0,34.19,0.0,51.47,89.34,0.0,48.53,0.0,0.0,65.81,0.0,0.0,10.66,47.79,97.06,PORTVILLE JUNIOR-SENIOR HIGH SCHOOL,4,CATTARAUGUS,2017
43001040002,0.0,0.0,0.0,49.67,0.0,42.72,86.09,0.0,57.28,0.0,0.0,50.33,0.0,0.0,13.91,53.64,94.37,RANDOLPH SENIOR HIGH SCHOOL,4,CATTARAUGUS,2017
43200050002,24.47,0.0,0.0,47.13,0.0,48.94,87.61,0.0,51.06,0.0,0.0,52.87,0.0,0.0,12.39,58.91,80.06,SALAMANCA JUNIOR/SENIOR HIGH SCHOOL,4,CATTARAUGUS,2017
43501060006,0.0,0.0,0.0,49.18,0.0,49.32,88.66,0.0,50.68,0.0,0.0,50.82,0.0,0.0,11.34,49.04,89.89,PIONEER SENIOR HIGH SCHOOL,4,CATTARAUGUS,2017
50100010013,0.0,0.0,10.59,44.59,0.0,51.45,91.46,2.59,48.55,0.0,1.83,55.41,0.0,0.0,8.54,82.24,81.1,AUBURN HIGH SCHOOL,5,CAYUGA,2017
50301040002,0.0,0.0,0.0,27.2,0.0,52.0,86.0,0.0,48.0,0.0,0.0,72.8,0.0,0.0,14.0,90.8,91.2,WEEDSPORT JUNIOR-SENIOR HIGH SCHOOL,5,CAYUGA,2017
50401040003,0.0,0.0,0.0,37.8,0.0,50.52,47.08,0.0,49.48,0.0,0.0,62.2,0.0,0.0,4.12,26.46,94.16,CATO-MERIDIAN SENIOR HIGH SCHOOL,5,CAYUGA,2017
50701040005,0.0,0.0,0.0,39.8,0.0,45.92,0.0,0.0,54.08,0.0,0.0,60.2,0.0,0.0,0.0,37.76,90.82,SOUTHERN CAYUGA 7-12 SECONDARY SCH,5,CAYUGA,2017
51101040004,0.0,0.0,0.0,36.72,0.0,50.75,89.55,0.0,49.25,0.0,0.0,63.28,0.0,0.0,10.45,92.54,88.06,PORT BYRON SENIOR HIGH SCHOOL,5,CAYUGA,2017
51301040003,0.0,0.0,0.0,39.37,0.0,48.43,0.0,0.0,51.57,0.0,0.0,60.63,0.0,0.0,0.0,0.0,90.55,MORAVIA JUNIOR-SENIOR HIGH SCHOOL,5,CAYUGA,2017
51901040005,0.0,0.0,0.0,28.83,0.0,51.46,68.61,0.0,48.54,0.0,0.0,71.17,0.0,0.0,5.47,44.53,92.34,UNION SPRINGS HIGH SCHOOL,5,CAYUGA,2017
60201060003,0.0,0.0,0.0,23.65,0.0,50.9,93.47,0.0,49.1,0.0,0.0,76.35,0.0,0.0,6.53,65.99,93.92,SOUTHWESTERN SENIOR HIGH SCHOOL,6,CHAUTAUQUA,2017
60301040004,0.0,0.0,0.0,34.22,0.0,54.75,85.17,0.0,45.25,0.0,0.0,65.78,0.0,0.0,14.83,0.0,92.02,FREWSBURG JUNIOR-SENIOR HIGH SCH,6,CHAUTAUQUA,2017
60401040006,0.0,0.0,0.0,52.55,0.0,49.04,89.17,0.0,50.96,0.0,0.0,47.45,0.0,0.0,10.83,43.31,88.54,CASSADAGA VALLEY MIDDLE/HIGH SCHOOL,6,CHAUTAUQUA,2017
60503040001,0.0,0.0,0.0,38.87,0.0,52.49,89.37,0.0,47.51,0.0,0.0,61.13,0.0,0.0,10.63,0.0,94.68,CHAUTAUQUA LAKE SECONDARY SCHOOL,6,CHAUTAUQUA,2017
60601040003,0.0,0.0,0.0,50.26,0.0,52.85,44.56,0.0,47.15,0.0,0.0,49.74,0.0,0.0,7.25,0.0,88.08,PINE VALLEY CENTRAL JR-SR HIGH SCH,6,CHAUTAUQUA,2017
60701040003,0.0,0.0,0.0,33.07,0.0,61.42,0.0,0.0,38.58,0.0,0.0,66.93,0.0,0.0,0.0,0.0,99.21,CLYMER CENTRAL SCHOOL,6,CHAUTAUQUA,2017
60800010009,0.0,0.0,0.0,59.02,5.53,50.57,91.38,44.23,49.43,0.81,0.0,40.98,94.47,22.6,8.62,44.88,78.54,DUNKIRK SENIOR HIGH SCHOOL,6,CHAUTAUQUA,2017
61001040005,0.0,0.0,0.0,26.78,0.0,45.61,44.35,0.0,54.39,0.0,0.0,73.22,0.0,0.0,6.69,0.0,95.4,MAPLE GROVE JUNIOR/SENIOR HIGH,6,CHAUTAUQUA,2017
61101040007,0.0,0.0,0.0,44.83,0.0,44.25,87.07,0.0,55.75,0.0,0.0,55.17,0.0,0.0,12.93,0.0,88.22,FALCONER MIDDLE/HIGH SCHOOL,6,CHAUTAUQUA,2017
61501040001,14.38,0.0,0.0,45.48,0.0,49.16,86.29,0.0,50.84,0.0,3.34,54.52,0.0,0.0,13.71,74.58,88.96,SILVER CREEK HIGH SCHOOL,6,CHAUTAUQUA,2017
61503040003,0.0,0.0,0.0,49.4,0.0,44.64,28.57,0.0,55.36,0.0,0.0,50.6,0.0,0.0,4.17,0.0,95.83,FORESTVILLE CENTRAL HIGH SCHOOL,6,CHAUTAUQUA,2017
61601040001,0.0,0.0,0.0,33.33,0.0,49.73,47.54,0.0,50.27,0.0,0.0,66.67,0.0,0.0,6.56,24.04,98.91,PANAMA HIGH SCHOOL,6,CHAUTAUQUA,2017
61700010013,0.0,0.0,4.02,63.74,2.41,49.49,88.16,17.32,50.51,0.0,8.33,36.26,72.73,0.0,11.84,68.13,78.29,JAMESTOWN HIGH SCHOOL,6,CHAUTAUQUA,2017
62201060003,0.0,0.0,0.0,27.92,0.0,49.58,93.33,11.25,50.42,0.0,0.0,72.08,0.0,0.0,6.67,82.92,92.92,FREDONIA HIGH SCHOOL,6,CHAUTAUQUA,2017
62301040003,0.0,0.0,0.0,46.81,0.0,39.72,25.53,0.0,60.28,0.0,0.0,53.19,0.0,0.0,4.26,34.04,95.04,BROCTON MIDDLE HIGH SCHOOL,6,CHAUTAUQUA,2017
62601040003,0.0,0.0,0.0,48.73,0.0,50.0,83.54,0.0,50.0,0.0,0.0,51.27,0.0,0.0,16.46,0.0,93.67,SHERMAN HIGH SCHOOL,6,CHAUTAUQUA,2017
62901040002,0.0,0.0,0.0,43.64,0.0,50.91,87.73,4.55,49.09,0.0,0.0,56.36,0.0,0.0,12.27,47.27,86.82,WESTFIELD HIGH SCHOOL,6,CHAUTAUQUA,2017
70600010020,0.0,0.0,19.73,54.22,0.0,49.6,86.6,2.28,50.4,0.0,1.08,45.78,0.0,0.0,13.4,75.31,70.52,ELMIRA HIGH SCHOOL,7,CHEMUNG,2017
70600010021,0.0,0.0,0.0,65.62,0.0,40.62,65.62,0.0,59.38,0.0,0.0,34.38,0.0,0.0,34.38,56.25,21.88,ERNIE DAVIS ACADEMY,7,CHEMUNG,2017
70901060007,0.0,3.49,0.54,28.94,0.0,48.25,93.41,2.87,51.75,0.0,0.0,71.06,0.0,0.0,6.59,90.77,87.82,HORSEHEADS SENIOR HIGH SCHOOL,7,CHEMUNG,2017
70902060002,0.0,0.0,0.0,40.25,0.0,51.26,89.94,0.0,48.74,0.0,0.0,59.75,0.0,0.0,10.06,69.5,81.45,THOMAS A EDISON HIGH SCHOOL,7,CHEMUNG,2017
80101040003,0.0,0.0,0.0,53.85,0.0,52.66,22.49,0.0,47.34,0.0,0.0,46.15,0.0,0.0,2.96,0.0,91.12,AFTON JUNIOR/SENIOR HIGH SCHOOL,8,CHENANGO,2017
80201040001,0.0,0.0,0.0,46.4,0.0,50.0,87.05,0.0,50.0,0.0,0.0,53.6,0.0,0.0,12.95,46.04,95.32,BAINBRIDGE-GUILFORD HIGH SCHOOL,8,CHENANGO,2017
