AGGREGATION_CODE,AMERICAN INDIAN OR ALASKA NATIVE,ASIAN OR PACIFIC ISLANDER,BLACK,ECONOMICALLY DISADVANTAGED,LIMITED ENGLISH PROFICIENT,FEMALE,FORMERLY LIMITED ENGLISH PROFICIENT,GENERAL EDUCATION STUDENTS,HISPANIC,MALE,MIGRANT,MULTIRACIAL,NOT ECONOMICALLY DISADVANTAGED,NOT LIMITED ENGLISH PROFICIENT,NOT MIGRANT,STUDENTS WITH DISABILITIES,WHITE,PCT_GRAD,AGGREGATION_NAME,COUNTY_CODE,COUNTY_NAME,YEAR
10100010034,0.0,8.05,53.97,50.54,6.59,50.19,0.46,84.98,15.56,49.81,0.0,0.0,49.46,93.41,0.0,15.02,19.49,68.91,ALBANY HIGH SCHOOL,1,ALBANY,2018
10100860907,0.0,0.0,84.51,58.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.59,0.0,0.0,0.0,0.0,91.15,GREEN TECH HIGH CHARTER SCHOOL,1,ALBANY,2018
10100860960,0.0,2.83,76.68,78.8,0.0,0.0,0.0,21.55,10.6,0.0,0.0,0.0,21.2,0.0,0.0,1.77,0.0,83.04,ALBANY LEADERSHIP CHARTER HS-GIRLS,1,ALBANY,2018
10201040001,0.0,0.0,0.0,35.53,0.0,45.42,0.0,90.48,0.0,54.58,0.0,0.0,64.47,0.0,0.0,9.52,0.0,94.51,BERNE-KNOX-WESTERLO JUNIOR-SENIOR HS,1,ALBANY,2018
10306060008,0.0,6.74,0.91,12.75,0.0,49.0,0.97,94.17,2.61,51.0,0.0,0.0,87.25,0.0,0.0,5.83,87.13,95.63,BETHLEHEM CENTRAL SENIOR HIGH SCHOOL,1,ALBANY,2018
10402060001,0.0,0.0,2.28,38.25,0.0,48.6,0.0,88.07,6.14,51.4,0.0,1.75,61.75,0.0,0.0,11.93,84.56,88.25,RAVENA-COEYMANS-SELKIRK SR HS,1,ALBANY,2018
10500010007,0.0,0.0,11.55,62.04,0.0,52.64,0.0,86.3,5.28,47.36,0.0,0.0,37.96,0.0,0.0,13.7,77.5,78.28,COHOES HIGH SCHOOL,1,ALBANY,2018
10601060008,0.0,9.57,7.56,27.99,1.16,48.66,0.0,84.39,7.56,51.34,0.0,3.54,72.01,75.37,0.0,15.61,70.98,91.89,COLONIE CENTRAL HIGH SCHOOL,1,ALBANY,2018
10623060010,0.0,15.02,6.51,22.58,0.8,49.43,1.94,89.61,4.48,50.57,0.0,0.7,77.42,51.32,0.0,10.39,71.41,95.03,SHAKER HIGH SCHOOL,1,ALBANY,2018
10701030001,0.0,0.0,0.0,50.0,0.0,54.29,0.0,0.0,0.0,45.71,0.0,0.0,50.0,0.0,0.0,0.0,24.29,72.86,HEATLY SCHOOL,1,ALBANY,2018
10802060005,0.0,10.64,4.4,15.35,0.0,48.75,1.22,87.89,3.0,51.25,0.0,1.16,84.65,0.0,0.0,12.11,79.45,95.23,GUILDERLAND HIGH SCHOOL,1,ALBANY,2018
11003060002,0.0,0.0,0.0,8.37,0.0,46.8,0.0,89.41,0.0,53.2,0.0,0.0,91.63,0.0,0.0,10.59,67.49,97.78,CLAYTON A BOUTON HIGH SCHOOL,1,ALBANY,2018
11200010010,0.0,8.17,18.99,69.47,2.88,43.51,2.4,82.69,4.09,56.49,0.0,2.64,30.53,43.75,0.0,17.31,60.82,76.44,WATERVLIET JUNIOR-SENIOR HIGH SCHOOL,1,ALBANY,2018
20101040002,0.0,0.0,0.0,34.04,0.0,50.53,0.0,42.55,0.0,49.47,0.0,0.0,65.96,0.0,0.0,6.38,0.0,93.09,ALFRED-ALMOND JUNIOR-SENIOR HIGH SCH,2,ALLEGANY,2018
20601040001,0.0,0.0,0.0,45.92,0.0,46.94,0.0,0.0,0.0,53.06,0.0,0.0,54.08,0.0,0.0,0.0,0.0,91.84,ANDOVER SCHOOL,2,ALLEGANY,2018
20702040001,0.0,0.0,0.0,45.21,0.0,45.21,0.0,62.77,0.0,54.79,0.0,0.0,54.79,0.0,0.0,9.04,0.0,90.43,GENESEE VALLEY CENTRAL SCHOOL,2,ALLEGANY,2018
20801040001,0.0,0.0,0.0,51.72,0.0,42.53,0.0,0.0,0.0,57.47,0.0,0.0,48.28,0.0,0.0,0.0,0.0,93.1,BELFAST SCHOOL,2,ALLEGANY,2018
21102040001,0.0,0.0,0.0,47.22,0.0,44.44,0.0,0.0,0.0,38.89,0.0,0.0,52.78,0.0,0.0,0.0,0.0,88.89,CANASERAGA SCHOOL,2,ALLEGANY,2018
21601040004,0.0,0.0,0.0,67.39,0.0,56.52,0.0,0.0,0.0,43.48,0.0,0.0,32.61,0.0,0.0,0.0,0.0,90.22,FRIENDSHIP CENTRAL SCHOOL,2,ALLEGANY,2018
22001040001,0.0,0.0,0.0,45.73,0.0,50.61,0.0,0.0,0.0,49.39,0.0,0.0,54.27,0.0,0.0,0.0,0.0,97.56,FILLMORE CENTRAL SCHOOL,2,ALLEGANY,2018
22101040001,0.0,0.0,0.0,42.31,0.0,47.44,0.0,0.0,0.0,52.56,0.0,0.0,57.69,0.0,0.0,0.0,0.0,96.15,WHITESVILLE CENTRAL SCHOOL,2,ALLEGANY,2018
22302040001,0.0,0.0,0.0,44.06,0.0,52.87,0.0,59.39,0.0,47.13,0.0,0.0,55.94,0.0,0.0,13.41,92.34,89.66,CUBA-RUSHFORD HIGH SCHOOL,2,ALLEGANY,2018
22401040003,0.0,0.0,0.0,58.06,0.0,52.69,0.0,38.71,0.0,47.31,0.0,0.0,41.94,0.0,0.0,10.75,0.0,98.92,SCIO CENTRAL SCHOOL,2,ALLEGANY,2018
22601060004,0.0,0.0,0.0,46.12,0.0,51.7,0.0,85.68,0.0,48.3,0.0,0.0,53.88,0.0,0.0,14.32,71.84,88.11,WELLSVILLE SECONDARY SCHOOL,2,ALLEGANY,2018
22902040001,0.0,0.0,0.0,50.88,0.0,55.26,0.0,88.6,0.0,44.74,0.0,0.0,49.12,0.0,0.0,11.4,0.0,93.86,BOLIVAR-RICHBURG JUNIOR-SENIOR HS,2,ALLEGANY,2018
30101060003,0.0,0.0,0.0,32.99,0.0,45.23,0.0,90.04,2.9,54.77,0.0,0.0,67.01,0.0,0.0,9.96,92.74,98.34,CHENANGO FORKS HIGH SCHOOL,3,BROOME,2018
30200010021,0.0,0.86,27.06,65.93,1.72,51.6,0.0,84.99,11.13,48.4,0.0,5.78,34.07,98.28,0.0,15.01,51.97,70.73,BINGHAMTON HIGH SCHOOL,3,BROOME,2018
30501040003,0.0,0.0,0.0,55.56,0.0,42.39,0.0,81.07,0.0,57.61,0.0,0.0,44.44,0.0,0.0,18.93,0.0,89.3,HARPURSVILLE JUNIOR-SENIOR HIGH SCH,3,BROOME,2018
30601060006,0.0,0.0,3.42,37.3,0.0,47.57,0.0,86.67,0.0,52.43,0.0,0.0,62.7,0.0,0.0,13.33,89.91,92.07,SUSQUEHANNA VALLEY SENIOR HIGH SCH,3,BROOME,2018
30701060001,0.0,0.97,0.0,36.36,0.0,50.87,0.0,86.27,0.0,49.13,0.0,2.71,63.64,0.0,0.0,13.73,91.68,93.42,CHENANGO VALLEY HIGH SCHOOL,3,BROOME,2018
31101060006,0.0,0.0,3.13,32.2,0.0,52.67,0.0,86.96,0.65,47.33,0.0,0.0,67.8,0.0,0.0,13.04,91.53,95.57,MAINE-ENDWELL SENIOR HIGH SCHOOL,3,BROOME,2018
31301040003,0.0,0.0,0.0,55.62,0.0,57.4,0.0,21.89,0.0,42.6,0.0,0.0,44.38,0.0,0.0,2.96,0.0,98.82,DEPOSIT MIDDLE-SENIOR HIGH SCHOOL,3,BROOME,2018
31401060004,0.0,0.0,0.0,52.12,0.0,51.22,0.0,85.75,0.0,48.78,0.0,0.0,47.88,0.0,0.0,14.25,26.06,85.3,WHITNEY POINT SENIOR HIGH SCHOOL,3,BROOME,2018
31501060012,0.0,2.54,8.06,43.17,0.0,45.62,0.0,84.24,7.18,54.38,0.0,5.43,56.83,0.0,0.0,15.76,76.18,88.88,UNION-ENDICOTT HIGH SCHOOL,3,BROOME,2018
31502060006,0.0,4.97,12.7,60.99,1.31,50.26,1.31,86.13,8.25,49.74,0.0,4.84,39.01,49.48,0.0,13.87,66.49,87.04,JOHNSON CITY SENIOR HIGH SCHOOL,3,BROOME,2018
31601060051,0.0,8.07,2.07,19.39,0.0,48.03,0.0,89.76,0.98,51.97,0.0,0.0,80.61,0.0,0.0,10.24,85.53,95.77,VESTAL SENIOR HIGH SCHOOL,3,BROOME,2018
31701060007,0.0,0.0,0.0,50.09,0.0,46.68,0.0,87.67,1.9,53.32,0.0,0.0,49.91,0.0,0.0,12.33,92.98,89.37,WINDSOR CENTRAL HIGH SCHOOL,3,BROOME,2018
40204040001,0.0,0.0,0.0,35.23,0.0,56.82,0.0,23.86,0.0,43.18,0.0,0.0,64.77,0.0,0.0,5.68,0.0,92.05,WEST VALLEY CENTRAL SCHOOL,4,CATTARAUGUS,2018
40302060001,0.0,0.0,0.0,32.02,0.0,55.59,0.0,90.03,0.0,44.41,0.0,0.0,67.98,0.0,0.0,9.97,48.64,93.35,ALLEGANY-LIMESTONE MIDDLE-HIGH,4,CATTARAUGUS,2018
40901040002,0.0,0.0,0.0,24.46,0.0,48.37,0.0,45.65,0.0,51.63,0.0,0.0,75.54,0.0,0.0,7.61,36.96,97.28,ELLICOTTVILLE MIDDLE/HIGH SCHOOL,4,CATTARAUGUS,2018
41101040002,0.0,0.0,0.0,49.53,0.0,47.2,0.0,66.82,0.0,52.8,0.0,0.0,50.47,0.0,0.0,7.94,0.0,95.79,FRANKLINVILLE JUNIOR-SENIOR HIGH SCH,4,CATTARAUGUS,2018
41401040001,0.0,0.0,0.0,47.17,0.0,56.6,0.0,22.64,0.0,43.4,0.0,0.0,52.83,0.0,0.0,4.72,0.0,83.96,HINSDALE CENTRAL SCHOOL,4,CATTARAUGUS,2018
42302040003,0.0,0.0,0.0,45.96,0.0,47.72,0.0,79.65,0.0,52.28,0.0,0.0,54.04,0.0,0.0,20.35,28.07,89.82,CATTARAUGUS-LITTLE VALLEY HS,4,CATTARAUGUS,2018
42400010013,0.0,0.0,7.77,53.05,0.0,45.27,0.0,86.28,0.91,54.73,0.0,3.96,46.95,0.0,0.0,13.72,82.47,83.23,OLEAN SENIOR HIGH SCHOOL,4,CATTARAUGUS,2018
42801060006,16.97,0.0,0.0,61.62,0.0,53.79,0.0,87.99,0.0,46.21,0.0,0.0,38.38,0.0,0.0,12.01,73.89,85.9,GOWANDA HIGH SCHOOL,4,CATTARAUGUS,2018
42901040002,0.0,0.0,0.0,42.48,0.0,46.24,0.0,87.59,0.0,53.76,0.0,0.0,57.52,0.0,0.0,12.41,24.81,93.23,PORTVILLE JUNIOR-SENIOR HIGH SCHOOL,4,CATTARAUGUS,2018
43001040002,0.0,0.0,0.0,53.41,0.0,41.22,0.0,84.23,0.0,58.78,0.0,0.0,46.59,0.0,0.0,15.77,29.39,91.76,RANDOLPH SENIOR HIGH SCHOOL,4,CATTARAUGUS,2018
43200050002,33.45,0.0,0.0,52.36,0.0,55.07,0.0,47.64,0.0,44.93,0.0,0.0,47.64,0.0,0.0,6.42,57.09,83.11,SALAMANCA HIGH SCHOOL,4,CATTARAUGUS,2018
43501060006,0.0,0.0,0.0,50.64,0.0,51.91,0.0,90.38,0.0,48.09,0.0,0.0,49.36,0.0,0.0,9.62,71.71,90.81,PIONEER SENIOR HIGH SCHOOL,4,CATTARAUGUS,2018
50100010013,0.0,0.0,11.58,41.21,0.0,49.6,0.0,89.94,2.96,50.4,0.0,1.28,58.79,0.0,0.0,10.06,81.07,79.79,AUBURN HIGH SCHOOL,5,CAYUGA,2018
50301040002,0.0,0.0,0.0,31.02,0.0,52.81,0.0,84.82,0.0,47.19,0.0,0.0,68.98,0.0,0.0,15.18,90.76,89.77,WEEDSPORT JUNIOR-SENIOR HIGH SCHOOL,5,CAYUGA,2018
50401040003,0.0,0.0,0.0,38.57,0.0,51.07,0.0,68.57,0.0,48.93,0.0,0.0,61.43,0.0,0.0,6.43,46.43,95.36,CATO-MERIDIAN SENIOR HIGH SCHOOL,5,CAYUGA,2018
50701040005,0.0,0.0,0.0,45.45,0.0,44.98,0.0,0.0,8.61,55.02,0.0,0.0,54.55,0.0,0.0,0.0,61.72,85.17,SOUTHERN CAYUGA 7-12 SECONDARY SCH,5,CAYUGA,2018
51101040004,0.0,0.0,0.0,34.5,0.0,48.54,0.0,91.81,0.0,51.46,0.0,0.0,65.5,0.0,0.0,8.19,46.49,90.64,PORT BYRON SENIOR HIGH SCHOOL,5,CAYUGA,2018
51301040003,0.0,0.0,0.0,39.72,0.0,48.94,0.0,0.0,0.0,51.06,0.0,0.0,60.28,0.0,0.0,0.0,50.35,91.49,MORAVIA JUNIOR-SENIOR HIGH SCHOOL,5,CAYUGA,2018
51901040005,0.0,0.0,0.0,26.32,0.0,55.44,0.0,19.65,0.0,44.56,0.0,0.0,73.68,0.0,0.0,1.75,21.05,93.33,UNION SPRINGS HIGH SCHOOL,5,CAYUGA,2018
60201060003,0.0,2.22,0.0,27.11,0.0,56.0,0.0,92.67,0.0,44.0,0.0,0.0,72.89,0.0,0.0,7.33,64.67,93.78,SOUTHWESTERN SENIOR HIGH SCHOOL,6,CHAUTAUQUA,2018
