COUNTY_NAME,AMERICAN INDIAN OR ALASKA NATIVE,ASIAN OR PACIFIC ISLANDER,BLACK,ECONOMICALLY DISADVANTAGED,LIMITED ENGLISH PROFICIENT,FEMALE,FORMERLY LIMITED ENGLISH PROFICIENT,GENERAL EDUCATION STUDENTS,HISPANIC,HOMELESS,IN FOSTER CARE,MALE,MIGRANT,MULTIRACIAL,NOT ECONOMICALLY DISADVANTAGED,NOT LIMITED ENGLISH PROFICIENT,NOT HOMELESS,NOT MIGRANT,NOT IN FOSTER CARE,PARENT NOT IN ARMED FORCES,PARENT IN ARMED FORCES,STUDENTS WITH DISABILITIES,WHITE,PCT_GRAD,COUNTY_CODE,YEAR
ALBANY,0.0,8.54,18.99,34.24,2.11,47.23,0.73,85.72,7.26,1.55,0.0,48.47,0.0,0.92,65.76,37.32,51.25,0.0,0.0,0.0,0.0,11.84,58.53,87.99,1,2019
ALLEGANY,0.0,0.0,0.0,46.19,0.0,49.97,0.0,51.92,0.0,0.0,0.0,48.01,0.0,0.0,53.81,0.0,0.0,0.0,0.0,0.0,0.0,8.25,25.44,92.52,2,2019
BRONX,0.39,4.82,18.94,73.7,11.63,47.35,5.81,73.66,56.7,9.51,0.0,51.23,0.0,0.09,20.82,55.91,67.37,0.0,0.0,0.0,0.0,19.2,3.01,76.16,32,2019
BROOME,0.0,2.08,8.52,46.34,0.59,48.7,0.24,84.71,4.59,1.92,0.0,51.3,0.0,3.22,53.66,21.94,44.12,0.0,0.0,0.0,0.0,13.31,68.21,89.04,3,2019
CATTARAUGUS,3.68,0.0,1.12,48.02,0.0,49.32,0.0,78.47,0.21,0.18,0.0,50.68,0.0,0.63,51.98,0.0,6.41,0.0,0.0,0.0,0.0,11.13,55.27,90.34,4,2019
CAYUGA,0.0,0.0,4.94,38.58,0.0,50.7,0.0,68.55,2.14,1.12,0.0,49.3,0.0,0.37,61.42,0.0,27.07,0.0,0.0,0.0,0.0,7.69,69.43,86.44,5,2019
CHAUTAUQUA,0.63,0.12,0.67,45.87,2.06,49.84,0.53,73.99,10.28,0.53,0.0,50.16,0.0,2.37,54.13,32.78,19.37,0.0,0.0,0.0,0.0,9.3,47.87,87.99,6,2019
CHEMUNG,0.0,1.61,11.5,44.74,0.0,49.49,0.0,88.74,2.12,0.0,0.0,50.51,0.0,1.22,55.26,0.0,0.0,0.0,0.0,0.0,0.0,11.26,78.65,79.3,7,2019
CHENANGO,0.0,0.0,0.92,49.82,0.0,49.88,0.0,76.68,0.37,0.86,0.0,50.12,0.0,0.0,50.18,0.0,16.03,0.0,0.0,0.0,0.0,14.75,40.33,89.69,8,2019
CLINTON,0.2,0.24,1.81,44.05,0.0,48.15,0.0,79.42,0.0,0.99,0.0,51.85,0.0,0.24,55.95,0.0,22.71,0.0,0.0,0.0,0.0,17.9,59.11,88.43,9,2019
COLUMBIA,0.0,2.5,5.99,44.88,1.87,48.38,0.0,80.21,3.81,2.06,0.0,51.31,0.31,0.81,54.81,27.09,20.29,6.3,0.0,0.0,0.0,14.11,66.6,88.3,10,2019
CORTLAND,0.0,0.0,0.99,42.71,0.0,47.31,0.0,82.79,0.5,0.71,0.0,52.69,0.0,1.06,57.29,0.0,11.19,0.0,0.0,0.0,0.0,11.97,57.37,90.19,11,2019
DELAWARE,0.0,0.0,0.0,43.68,0.0,48.46,0.0,53.4,0.57,0.0,0.0,48.87,0.0,0.0,52.03,0.0,0.0,0.0,0.0,0.0,0.0,12.48,29.25,89.91,12,2019
DUTCHESS,0.0,2.8,11.59,31.61,0.96,49.06,0.11,87.19,13.8,1.49,0.16,50.71,0.0,1.01,68.39,31.95,63.87,0.0,6.54,0.0,0.0,12.58,66.47,88.91,13,2019
ERIE,0.26,3.81,18.53,41.49,3.14,49.65,0.98,85.39,6.51,0.71,0.0,50.23,0.0,0.71,57.43,20.21,19.14,0.0,0.0,0.0,0.0,12.97,61.58,86.47,14,2019
ESSEX,0.0,0.0,0.0,39.43,0.0,44.69,0.0,50.86,0.0,0.0,0.0,47.2,0.0,0.0,52.34,0.0,0.0,0.0,0.0,0.0,0.0,10.74,12.69,92.57,15,2019
FRANKLIN,11.57,0.0,0.0,51.89,0.0,49.09,0.0,79.66,0.0,1.28,0.3,50.0,0.0,0.0,48.11,0.0,32.64,0.0,11.75,0.0,0.0,17.6,28.26,88.37,16,2019
FULTON,0.0,0.28,2.64,47.84,0.0,47.95,0.0,81.9,0.45,0.28,0.0,52.05,0.0,1.29,52.16,0.0,2.14,0.0,0.0,0.0,0.0,14.9,74.37,82.86,17,2019
GENESEE,0.0,0.0,1.48,40.0,0.0,49.89,0.0,80.55,2.08,0.0,0.0,50.11,0.0,0.55,60.0,0.0,0.0,0.0,0.0,0.0,0.0,10.93,50.11,94.54,18,2019
GREENE,0.0,0.0,4.18,38.91,0.0,52.74,0.0,78.65,2.89,0.38,0.0,47.26,0.0,1.37,61.09,0.0,6.99,0.0,0.0,0.0,0.0,14.13,66.95,90.01,19,2019
HAMILTON,0.0,0.0,0.0,33.33,0.0,20.99,0.0,0.0,0.0,0.0,0.0,22.22,0.0,0.0,24.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.83,20,2019
HERKIMER,0.0,0.0,0.34,48.56,0.0,49.23,0.0,74.35,0.0,0.0,0.0,50.77,0.0,0.0,50.67,0.0,0.0,0.0,0.0,0.0,0.0,12.75,39.88,89.48,21,2019
JEFFERSON,0.0,0.28,4.79,49.22,0.0,48.81,0.0,77.51,5.24,0.19,0.0,51.19,0.0,2.27,50.78,0.0,5.04,0.0,0.0,45.48,13.16,15.73,65.12,88.02,22,2019
KINGS,0.11,15.56,38.11,74.52,6.87,46.73,4.91,81.37,24.03,6.43,0.0,51.89,0.0,0.49,24.24,49.72,72.84,0.0,0.0,0.0,0.0,15.78,12.91,81.52,33,2019
LEWIS,0.0,0.0,0.0,49.78,0.0,50.55,0.0,72.2,0.0,0.0,0.0,49.45,0.0,0.0,50.22,0.0,0.0,0.0,0.0,0.0,0.0,14.4,52.86,92.58,23,2019
LIVINGSTON,0.0,0.0,0.0,35.84,0.0,49.2,0.0,81.55,0.0,0.28,0.0,50.8,0.0,0.0,64.16,0.0,7.09,0.0,0.0,0.0,0.0,10.47,43.55,93.27,24,2019
MADISON,0.0,0.0,0.0,37.99,0.0,49.29,0.0,73.32,0.53,0.0,0.0,50.71,0.0,0.0,62.01,0.0,0.0,0.0,0.0,0.0,0.0,10.82,71.82,89.66,25,2019
MONROE,0.0,3.2,23.01,43.81,3.27,49.07,0.93,85.92,11.74,1.41,0.0,48.45,0.0,0.7,53.81,34.76,46.09,0.0,0.0,0.0,0.0,12.19,57.53,87.21,26,2019
