AGGREGATION_NAME,AMERICAN INDIAN/ALASKA NATIVE,ASIAN/PACIFIC ISLANDER,BLACK,ECONOMICALLY DISADVANTAGED,ENGLISH LANGUAGE LEARNER,FEMALE,FORMERLY ENGLISH LANGUAGE LEARNER,GENERAL EDUCATION STUDENTS,HISPANIC,HOMELESS,IN FOSTER CARE,MALE,MIGRANT,MULTIRACIAL,NOT ECONOMICALLY DISADVANTAGED,NOT ENGLISH LANGUAGE LEARNER,NOT HOMELESS,NOT MIGRANT,NOT IN FOSTER CARE,PARENT NOT IN ARMED FORCES,PARENT IN ARMED FORCES,STUDENTS WITH DISABILITIES,WHITE,PCT_GRAD,AGGREGATION_CODE,COUNTY_CODE,COUNTY_NAME
A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,0.0,5.65,29.72,84.68,5.07,48.96,7.03,87.33,60.14,8.76,0.0,51.04,0.0,0.0,15.32,94.93,91.24,0.0,0.0,0.0,0.0,12.67,0.81,81.11,310600011540,31,NEW YORK
ABRAHAM LINCOLN HIGH SCHOOL,0.0,12.29,34.88,74.41,12.94,40.1,9.51,85.06,23.23,4.79,0.0,59.9,0.0,0.0,25.59,87.06,95.21,0.0,0.0,0.0,0.0,14.94,20.94,80.74,332100011410,33,KINGS
ACAD FOR COLLEGE PREP & CAREER EXPLORATION: A COLLEGE BOARD,0.0,0.0,83.24,78.92,6.49,39.46,3.78,80.54,9.73,13.51,0.0,60.54,0.0,0.0,21.08,60.0,86.49,0.0,0.0,0.0,0.0,19.46,0.0,74.32,331700011382,33,KINGS
ACADEMY FOR CAREERS IN TELEVISION AND FILM,0.0,2.76,16.33,51.51,0.0,50.75,1.76,79.65,51.26,0.0,0.0,49.25,0.0,2.51,48.49,0.0,0.0,0.0,0.0,0.0,0.0,20.35,20.6,98.87,343000011301,34,QUEENS
ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,0.0,0.0,80.87,78.26,7.39,41.3,2.61,82.61,5.65,10.0,0.0,58.7,0.0,0.0,21.74,60.43,90.0,0.0,0.0,0.0,0.0,17.39,3.91,85.87,331800011637,33,KINGS
ACADEMY FOR ENVIRONMENTAL LEADERSHIP,0.0,0.0,8.43,77.51,33.33,51.0,8.03,81.53,78.31,17.67,0.0,49.0,0.0,0.0,22.49,66.67,82.33,0.0,0.0,0.0,0.0,18.47,0.0,77.91,333200011403,33,KINGS
ACADEMY FOR HEALTH CAREERS,0.0,0.0,82.05,80.77,0.0,72.22,0.0,87.18,6.84,13.25,0.0,27.78,0.0,0.0,19.23,0.0,86.75,0.0,0.0,0.0,0.0,12.82,0.0,85.04,331700011751,33,KINGS
ACADEMY FOR LANGUAGE AND TECHNOLOGY,0.0,0.0,0.0,0.0,31.11,40.44,45.33,89.78,0.0,35.11,0.0,59.56,0.0,0.0,0.0,68.89,64.89,0.0,0.0,0.0,0.0,10.22,0.0,96.89,320900011365,32,BRONX
ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP,0.0,2.39,64.85,70.31,4.44,50.17,0.0,77.82,26.28,10.24,0.0,49.83,0.0,0.0,29.69,63.14,89.76,0.0,0.0,0.0,0.0,22.18,0.0,74.4,321100011270,32,BRONX
ACADEMY FOR SOCIAL ACTION-A COLLEGE BOARD SCHOOL,0.0,0.0,12.96,51.85,29.63,38.89,0.0,68.52,55.56,11.11,0.0,61.11,0.0,0.0,12.96,70.37,24.07,0.0,0.0,0.0,0.0,31.48,0.0,50.0,310500011367,31,NEW YORK
