COUNTY_NAME,AMERICAN INDIAN OR ALASKA NATIVE,ASIAN OR PACIFIC ISLANDER,BLACK,ECONOMICALLY DISADVANTAGED,FEMALE,FORMERLY LIMITED ENGLISH PROFICIENT,GENERAL EDUCATION STUDENTS,HISPANIC,LIMITED ENGLISH PROFICIENT,MALE,MIGRANT,MULTIRACIAL,NOT ECONOMICALLY DISADVANTAGED,NOT LIMITED ENGLISH PROFICIENT,NOT MIGRANT,STUDENTS WITH DISABILITIES,WHITE,PCT_GRAD,COUNTY_CODE,YEAR,HOMELESS,IN FOSTER CARE,NOT HOMELESS,NOT IN FOSTER CARE,PARENT NOT IN ARMED FORCES,PARENT IN ARMED FORCES
ALBANY,0.11,6.27,18.71,27.77,49.37,0.68,88.01,5.38,2.28,50.63,0.04,1.64,72.23,97.72,99.96,11.99,67.9,84.51,1,2015,,,,,,
ALLEGANY,0.1,0.84,0.69,40.52,48.37,0.05,87.46,0.59,0.0,51.63,0.25,0.54,59.48,100.0,99.75,12.54,97.24,89.04,2,2015,,,,,,
BRONX,0.69,6.49,29.55,75.41,48.46,3.61,82.45,59.11,13.19,51.54,0.0,0.15,24.59,86.81,100.0,17.55,4.0,66.6,32,2015,,,,,,
BROOME,0.23,3.28,8.06,38.54,49.53,0.2,85.35,3.97,0.55,50.47,0.01,2.21,61.46,99.45,99.99,14.65,82.25,86.86,3,2015,,,,,,
CATTARAUGUS,6.5,1.14,2.08,39.48,49.21,0.15,87.52,1.54,0.05,50.79,0.05,1.02,60.52,99.95,99.95,12.48,87.72,85.81,4,2015,,,,,,
CAYUGA,0.52,1.21,3.99,33.24,49.31,0.1,90.73,2.06,0.13,50.69,0.13,1.15,66.76,99.87,99.87,9.27,91.06,85.69,5,2015,,,,,,
CHAUTAUQUA,1.21,0.67,2.53,41.11,48.11,0.56,89.24,9.99,1.48,51.89,0.31,2.25,58.89,98.52,99.69,10.76,83.35,86.7,6,2015,,,,,,
CHEMUNG,0.24,1.53,10.37,35.85,49.72,0.03,88.6,2.68,0.12,50.28,0.0,1.47,64.15,99.88,100.0,11.4,83.71,76.08,7,2015,,,,,,
CHENANGO,0.36,0.65,1.38,46.35,50.36,0.04,84.93,2.07,0.04,49.64,0.57,0.12,53.65,99.96,99.43,15.07,95.42,88.57,8,2015,,,,,,
CLINTON,0.03,1.26,2.31,37.62,49.7,0.05,83.53,0.69,0.11,50.3,0.05,0.25,62.38,99.89,99.95,16.47,95.47,86.03,9,2015,,,,,,
COLUMBIA,0.08,3.11,7.64,35.43,47.05,0.32,85.15,4.98,1.55,52.95,0.72,1.31,64.57,98.45,99.28,14.85,82.88,85.51,10,2015,,,,,,
CORTLAND,0.24,1.22,2.49,36.96,49.93,0.0,84.35,2.49,0.2,50.07,0.15,0.44,63.04,99.8,99.85,15.65,93.13,85.86,11,2015,,,,,,
DELAWARE,0.28,1.55,0.94,47.57,50.66,0.11,82.62,3.97,0.39,49.34,0.06,0.83,52.43,99.61,99.94,17.38,92.44,89.02,12,2015,,,,,,
DUTCHESS,0.08,3.9,12.25,27.33,49.14,0.34,87.26,11.19,0.8,50.86,0.05,0.79,72.67,99.2,99.95,12.74,71.78,86.72,13,2015,,,,,,
ERIE,0.92,3.74,18.93,36.2,50.34,0.6,87.13,6.23,3.15,49.66,0.02,1.16,63.8,96.85,99.98,12.87,69.01,84.71,14,2015,,,,,,
ESSEX,0.31,0.93,0.62,44.82,49.0,0.0,85.47,0.7,0.0,51.0,0.0,0.93,55.18,100.0,100.0,14.53,96.52,89.8,15,2015,,,,,,
FRANKLIN,13.0,0.89,0.52,47.84,48.97,0.0,82.6,0.44,0.08,51.03,0.89,0.28,52.16,99.92,99.11,17.4,84.86,83.57,16,2015,,,,,,
FULTON,0.24,1.38,3.15,44.89,50.71,0.0,86.03,1.81,0.12,49.29,0.04,0.47,55.11,99.88,99.96,13.97,92.96,80.68,17,2015,,,,,,
