"DISTRICTID","DISTRICT_NAME","GRADE_RANGE","GEOID","DSB","NEEDS_INDEX","BOCES_CD","YEAR"
"010100","ALBANY CITY SD","K-12, UE, US","3602460","010100",3,"0190",2016
"010201","BERNE-KNOX-WESTERLO CSD","PK-12, US","3604650","010201",5,"0190",2016
"010306","BETHLEHEM CSD","K-12, UE, US","3604710","010306",6,"0190",2016
"010402","RAVENA-COEYMANS-SELKIRK CSD","PK-12, US","3624150","010402",5,"0190",2016
"010500","COHOES CITY SD","K-12, UE, US","3607980","010500",3,"0190",2016
"010601","SOUTH COLONIE CSD","PK-12, UE, US","3627210","010601",5,"0190",2016
"010615","MENANDS UFSD","K-8","3618990","010615",5,"0190",2016
"010623","NORTH COLONIE CSD","K-12, UE, US","","",6,"0190",2016
"010701","GREEN ISLAND UFSD","K-12","3612660","010701",3,"0190",2016
"010802","GUILDERLAND CSD","K-12, UE, US","3613080","010802",6,"0190",2016
"011003","VOORHEESVILLE CSD","K-12","3629670","011003",6,"0190",2016
"011200","WATERVLIET CITY SD","K-12, UE, US","3630210","011200",3,"0190",2016
"020101","ALFRED-ALMOND CSD","K-12, UE, US","3602700","020101",5,"5590",2016
"020601","ANDOVER CSD","PK-12, UE","3603030","020601",4,"0490",2016
"020702","GENESEE VALLEY CSD","PK-12, UE, US","3600017","020702",4,"0490",2016
"020801","BELFAST CSD","PK-12, US","3604350","020801",4,"0490",2016
"021102","CANASERAGA CSD","K-12, UE","3606360","021102",4,"5590",2016
"021601","FRIENDSHIP CSD","PK-12, US","3611640","021601",4,"0490",2016
"022001","FILLMORE CSD","PK-12, UE, US","3611070","022001",4,"0490",2016
"022101","WHITESVILLE CSD","PK-12, UE, US","3631350","022101",4,"0490",2016
"022302","CUBA-RUSHFORD CSD","PK-12","3632010","022302",4,"0490",2016
"022401","SCIO CSD","PK-12, UE","3626190","022401",4,"0490",2016
"022601","WELLSVILLE CSD","K-12, UE, US","3630480","022601",4,"0490",2016
"022902","BOLIVAR-RICHBURG CSD","PK-12, US","3600012","022902",4,"0490",2016
"030101","CHENANGO FORKS CSD","PK-12","3607260","030101",5,"0390",2016
"030200","BINGHAMTON CITY SD","PK-12, UE, US","3604870","030200",3,"0390",2016
"030501","HARPURSVILLE CSD","K-12","3613710","030501",4,"0390",2016
"030601","SUSQUEHANNA VALLEY CSD","K-12, UE, US","3628380","030601",5,"0390",2016
"030701","CHENANGO VALLEY CSD","PK-12","3607290","030701",4,"0390",2016
"031101","MAINE-ENDWELL CSD","PK-12, UE, US","3618150","031101",5,"0390",2016
"031301","DEPOSIT CSD","PK-12, UE","3609060","031301",4,"0390",2016
"031401","WHITNEY POINT CSD","K-12, UE, US","3631380","031401",4,"0390",2016
"031501","UNION-ENDICOTT CSD","PK-12, US","3610710","031501",5,"0390",2016
"031502","JOHNSON CITY CSD","PK-12, UE, US","3615900","031502",3,"0390",2016
"031601","VESTAL CSD","PK-12, UE, US","3629610","031601",5,"0390",2016
"031701","WINDSOR CSD","PK-12, UE, US","3602730","031701",5,"0390",2016
"040204","WEST VALLEY CSD","K-12","3630900","040204",5,"0490",2016
