"","county_name","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs"
"1","Albany",0.702471528691446,0.698736861687573,0.0527599703342977,188.094822902,4.06952494132809e-182,9,1112.30222013443,-2202.60444026887,-2152.126249016,1.99585157475767,717,727
"2","Allegany",0.0918467643441405,0.0806195952220214,0.0774712683043364,8.1807589558074,1.2308270869179e-11,9,845.549476461225,-1669.09895292245,-1618.45557085185,4.36930851643284,728,738
"3","Broome",0.478796058585115,0.472352603265426,0.058407810471015,74.3073451789197,6.07354260174817e-97,9,1054.0031219635,-2086.006243927,-2035.36286185639,2.48355185188511,728,738
"4","Cattaraugus",0.290951985063943,0.279637389080921,0.076243495116744,25.7147480564506,3.54305012912456e-37,9,667.947852147096,-1313.89570429419,-1266.01678093468,3.27857178885597,564,574
"5","Cayuga",0.519048629544336,0.511373873632809,0.0600461689391027,67.6306367952089,7.63914338116683e-84,9,805.029586920251,-1588.0591738405,-1540.18025048099,2.03352591600448,564,574
"6","Chautauqua",0.248749175320382,0.239384552852077,0.0932577700952007,26.5626485383979,8.94059003628527e-40,9,702.959402679941,-1383.91880535988,-1333.36521970631,6.27924243521936,722,732
"7","Chemung",0.615597374099328,0.603107758095335,0.0486201076023306,49.2887350501825,1.64498883891771e-52,9,465.660920623593,-909.321841247187,-869.067536873831,0.654804417123631,277,287
"8","Chenango",0.21861293393895,0.205166502591819,0.0626139121076581,16.2580634441417,1.26707703841878e-23,9,725.572491866766,-1429.14498373353,-1382.08124806771,2.05042254046956,523,533
"9","Clinton",0.374255344332074,0.358568152407251,0.0441073927732524,23.8573828971819,6.54705323174176e-32,9,633.176866901792,-1244.35373380358,-1201.33497071914,0.698420892914172,359,369
"10","Columbia",0.511887955159946,0.501926484857088,0.0594507358605929,51.3867872509815,2.8769687181622e-63,9,638.110869599378,-1254.22173919876,-1208.99559846423,1.5586659875154,441,451
"11","Cortland",0.357719661589813,0.345726875187963,0.0660739300002998,29.8279023409132,2.48829984814088e-41,9,643.688411934072,-1265.37682386814,-1219.19355798673,2.10429835677994,482,492
"12","Delaware",0.180100207340479,0.171827675800192,0.0737683146051166,21.7708698314903,1.45169682385113e-33,9,1076.50240063285,-2131.0048012657,-2078.15404154501,4.85405370179408,892,902
"13","Dutchess",0.794167618342761,0.790883059060996,0.0468796390130169,241.788182284272,3.8392590490564e-187,9,947.111981207266,-1872.22396241453,-1824.34503905502,1.2395031124508,564,574
"14","Erie",0.729377886107676,0.72676738340132,0.0505961706638091,279.401313904626,1.00382785086321e-257,9,1480.76592248788,-2939.53184497576,-2886.19211586679,2.38845432928993,933,943
"15","Essex",0.0911238059969259,0.0741530886815159,0.215501283544391,5.36947285747208,5.10893840251797e-07,9,62.0496532240974,-102.099306448195,-55.9160405667794,22.3844671468729,482,492
"16","Franklin",0.368490514877838,0.352658800766141,0.0634194424988807,23.2754654535841,3.21889308392997e-31,9,499.177072792641,-976.354145585282,-933.335382500836,1.44390722158591,359,369
"17","Fulton",0.309393677770152,0.294307617333093,0.0891434117147223,20.5085800273018,1.45945126855218e-28,9,426.456863395559,-830.913726791117,-786.418668336721,3.27397771508188,412,422
"18","Genesee",0.327416886817983,0.318046533847954,0.0502554998064181,34.9417879844286,2.52110164844286e-50,9,1036.07157343186,-2050.14314686371,-2000.79537818533,1.63154745847221,646,656
"19","Greene",0.492357188137468,0.480935224870561,0.0551165233785328,43.1061785642387,1.11533109146504e-53,9,611.602535426633,-1201.20507085327,-1157.02734209658,1.21513245973454,400,410
"20","Hamilton",0.463736780327784,0.444584522482347,0.317705823973056,24.2131650518837,1.14821873177257e-29,9,-66.2470717465225,154.494143493045,193.745933034417,25.4361216277723,252,262
"21","Herkimer",0.253605941390509,0.243396904114695,0.0761458658538477,24.8413179949228,7.75581119026579e-37,9,777.356662454859,-1532.71332490972,-1483.16615500081,3.81521091940397,658,668
"22","Jefferson",0.310066721968382,0.299803251716672,0.0736389003123031,30.2107098636274,1.2548561482105e-43,9,736.671740038534,-1451.34348007707,-1402.7056351312,3.28072602171921,605,615
"23","Lewis",0.392926239076168,0.377707119721532,0.05623902451287,25.8179353167675,3.36912898814067e-34,9,543.515956401802,-1065.0319128036,-1022.01314971916,1.13545520825915,359,369
"24","Livingston",0.314285530193511,0.304084819072422,0.0493919871280853,30.8101588666478,2.05647735826338e-44,9,982.293647760379,-1942.58729552076,-1893.94945057489,1.47593887743887,605,615
"25","Madison",0.358793963760473,0.351289601827891,0.053961476753275,47.811388494293,1.69810221379034e-68,9,1173.95797425761,-2325.91594851523,-2274.67782701065,2.23920570854017,769,779
"26","Monroe",0.770559411761913,0.768439324190925,0.0453230283244962,363.456407323138,3.97073154707785e-304,9,1653.22704702405,-3284.45409404811,-3230.64620918053,2.000768297194,974,984
"27","Montgomery",0.307841597196526,0.297745283379296,0.079540086372704,30.4904941317452,3.81443166934262e-44,9,702.612675294129,-1383.22535058826,-1334.3749386413,3.90352783488934,617,627
"28","Nassau",0.758864813378319,0.752040232624875,0.0350109033215514,111.195814189082,1.05586746286345e-92,9,639.153369658804,-1256.30673931761,-1214.58358962538,0.389792745742344,318,328
"29","Niagara",0.682782717968689,0.676859573698395,0.0421391100108525,115.273693634813,3.43113790408299e-114,9,864.989017262543,-1707.97803452509,-1661.79476864367,0.855889613588242,482,492
"30","Oneida",0.618389335070382,0.614539003249343,0.0516571330753816,160.606764251179,7.74346602750684e-180,9,1397.88590977269,-2773.77181954538,-2720.92105982469,2.38026578263037,892,902
"31","Onondaga",0.786135225970405,0.783977397532887,0.043364489959119,364.317761459535,1.2357990908003e-291,9,1555.72453340169,-3089.44906680338,-3036.59830708269,1.67738725855776,892,902
"32","Ontario",0.527431446227541,0.520401500799521,0.0572474581722133,75.0263926836895,1.53404122261285e-92,9,891.522700892472,-1761.04540178494,-1712.40755683907,1.98274923764348,605,615
"33","Orange",0.668526207118535,0.663227336539613,0.0497259158175111,126.163905526924,8.25386698136324e-129,9,911.696602916488,-1801.39320583298,-1753.53346294911,1.39211135429018,563,573
"34","Orleans",0.420414445464466,0.407373770487417,0.0422919529352244,32.2387028435537,2.09801306869106e-42,9,720.192151042922,-1418.38430208584,-1374.20657332916,0.715443713230094,400,410
"35","Oswego",0.455489659126594,0.445322453591614,0.0584462286995855,44.7998870052806,2.98687644427418e-58,9,704.040626427376,-1386.08125285475,-1339.89798697334,1.64649351491645,482,492
"36","Otsego",0.192551709752504,0.184012303627677,0.074163659092478,22.5486066522469,1.35456215735628e-34,9,1023.19834258283,-2024.39668516566,-1972.05764561695,4.68071132881749,851,861
"37","Putnam",0.585683260395898,0.575296489765154,0.0314262088501548,56.3874260073049,2.22059347567405e-63,9,758.26239959973,-1494.52479919946,-1451.50603611501,0.354550770366983,359,369
"38","Rensselaer",0.395412679208679,0.385765009196052,0.0632767302381029,40.9853030515283,3.10219207150598e-56,9,774.949747085279,-1527.89949417056,-1480.02057081104,2.25822474854887,564,574
