,num_asian,num_black,num_hisp,num_multi
0,269.0,5952.0,918.0,0.0
1,360.0,5281.0,940.0,77.0
2,360.0,5281.0,940.0,77.0
3,360.0,5281.0,940.0,77.0
4,382.0,4894.0,908.0,96.0
5,382.0,4894.0,908.0,96.0
6,382.0,4894.0,908.0,96.0
7,382.0,4894.0,908.0,96.0
8,382.0,4894.0,908.0,96.0
9,382.0,4894.0,908.0,96.0
10,382.0,4894.0,908.0,96.0
11,463.0,4834.0,946.0,5.0
12,463.0,4834.0,946.0,5.0
13,463.0,4834.0,946.0,5.0
14,463.0,4834.0,946.0,5.0
15,539.0,4874.0,1009.0,72.0
16,539.0,4874.0,1009.0,72.0
17,539.0,4874.0,1009.0,72.0
18,597.0,4416.0,1095.0,148.0
19,597.0,4416.0,1095.0,148.0
20,597.0,4416.0,1095.0,148.0
21,597.0,4416.0,1095.0,148.0
22,597.0,4416.0,1095.0,148.0
23,665.0,4205.0,1181.0,213.0
24,665.0,4205.0,1181.0,213.0
25,665.0,4205.0,1181.0,213.0
26,746.0,4178.0,1294.0,316.0
27,746.0,4178.0,1294.0,316.0
28,746.0,4178.0,1294.0,316.0
29,747.0,4156.0,1345.0,362.0
30,747.0,4156.0,1345.0,362.0
31,747.0,4156.0,1345.0,362.0
32,792.0,4441.0,1463.0,440.0
33,792.0,4441.0,1463.0,440.0
34,792.0,4441.0,1463.0,440.0
35,794.0,4309.0,1547.0,475.0
36,794.0,4309.0,1547.0,475.0
37,794.0,4309.0,1547.0,475.0
38,909.0,4670.0,1792.0,628.0
39,909.0,4670.0,1792.0,628.0
40,909.0,4670.0,1792.0,628.0
41,4.0,19.0,10.0,0.0
42,4.0,19.0,10.0,0.0
43,4.0,14.0,2.0,0.0
44,4.0,14.0,2.0,0.0
45,4.0,14.0,2.0,0.0
46,4.0,14.0,2.0,0.0
47,4.0,14.0,2.0,0.0
48,4.0,14.0,2.0,0.0
49,4.0,9.0,5.0,3.0
50,4.0,9.0,5.0,3.0
51,4.0,9.0,5.0,3.0
52,4.0,9.0,5.0,3.0
53,4.0,9.0,5.0,3.0
54,4.0,9.0,5.0,3.0
55,4.0,9.0,5.0,3.0
56,4.0,9.0,5.0,3.0
57,4.0,9.0,5.0,3.0
58,4.0,9.0,5.0,3.0
59,4.0,9.0,5.0,3.0
60,4.0,9.0,5.0,3.0
61,4.0,9.0,5.0,3.0
62,4.0,9.0,5.0,3.0
63,4.0,7.0,2.0,6.0
64,4.0,7.0,2.0,6.0
65,4.0,7.0,2.0,6.0
66,4.0,7.0,2.0,6.0
67,4.0,7.0,2.0,6.0
68,4.0,7.0,2.0,6.0
69,4.0,7.0,2.0,6.0
70,4.0,7.0,2.0,6.0
71,4.0,10.0,2.0,5.0
72,4.0,10.0,2.0,5.0
73,4.0,10.0,2.0,5.0
74,4.0,10.0,2.0,5.0
75,4.0,10.0,2.0,5.0
76,4.0,10.0,2.0,5.0
77,5.0,8.0,5.0,5.0
78,5.0,8.0,5.0,5.0
79,5.0,8.0,5.0,5.0
80,5.0,8.0,5.0,5.0
81,5.0,8.0,5.0,5.0
82,5.0,8.0,5.0,5.0
83,5.0,8.0,5.0,5.0
84,5.0,8.0,5.0,5.0
85,5.0,8.0,5.0,5.0
86,5.0,8.0,5.0,5.0
87,5.0,9.0,4.0,6.0
88,5.0,9.0,4.0,6.0
89,5.0,9.0,4.0,6.0
90,5.0,9.0,4.0,6.0
91,5.0,9.0,4.0,6.0
92,5.0,9.0,4.0,6.0
93,5.0,7.0,10.0,7.0
94,5.0,7.0,10.0,7.0
95,5.0,7.0,10.0,7.0
96,5.0,7.0,10.0,7.0
97,5.0,7.0,10.0,7.0
98,5.0,7.0,10.0,7.0
99,7.0,6.0,7.0,5.0
100,7.0,6.0,7.0,5.0
101,7.0,6.0,7.0,5.0
102,7.0,6.0,7.0,5.0
103,7.0,6.0,7.0,5.0
104,7.0,6.0,7.0,5.0
105,3.0,7.0,11.0,7.0
106,3.0,7.0,11.0,7.0
107,3.0,7.0,11.0,7.0
108,3.0,7.0,11.0,7.0
109,3.0,7.0,11.0,7.0
110,3.0,7.0,11.0,7.0
111,5.0,3.0,12.0,4.0
112,5.0,3.0,12.0,4.0
113,5.0,3.0,12.0,4.0
114,5.0,3.0,12.0,4.0
115,5.0,3.0,12.0,4.0
116,5.0,3.0,12.0,4.0
117,6.0,3.0,12.0,4.0
118,6.0,3.0,12.0,4.0
119,6.0,3.0,12.0,4.0
120,6.0,3.0,12.0,4.0
121,6.0,3.0,12.0,4.0
122,6.0,3.0,12.0,4.0
123,218.0,106.0,114.0,0.0
124,243.0,117.0,111.0,27.0
125,243.0,117.0,111.0,27.0
126,243.0,117.0,111.0,27.0
127,247.0,107.0,114.0,37.0
128,247.0,107.0,114.0,37.0
129,247.0,107.0,114.0,37.0
130,247.0,107.0,114.0,37.0
131,247.0,107.0,114.0,37.0
132,247.0,107.0,114.0,37.0
133,247.0,107.0,114.0,37.0
134,262.0,114.0,127.0,61.0
135,262.0,114.0,127.0,61.0
136,262.0,114.0,127.0,61.0
137,262.0,114.0,127.0,61.0
138,246.0,102.0,115.0,77.0
139,246.0,102.0,115.0,77.0
140,246.0,102.0,115.0,77.0
141,269.0,109.0,122.0,75.0
142,269.0,109.0,122.0,75.0
143,269.0,109.0,122.0,75.0
144,269.0,109.0,122.0,75.0
145,269.0,109.0,122.0,75.0
146,277.0,114.0,112.0,70.0
147,277.0,114.0,112.0,70.0
148,277.0,114.0,112.0,70.0
149,276.0,113.0,104.0,62.0
150,276.0,113.0,104.0,62.0
151,276.0,113.0,104.0,62.0
152,292.0,111.0,98.0,14.0
153,292.0,111.0,98.0,14.0
154,292.0,111.0,98.0,14.0
155,300.0,113.0,134.0,43.0
156,300.0,113.0,134.0,43.0
157,300.0,113.0,134.0,43.0
158,327.0,114.0,140.0,75.0
159,327.0,114.0,140.0,75.0
160,327.0,114.0,140.0,75.0
161,323.0,106.0,136.0,93.0
162,323.0,106.0,136.0,93.0
163,323.0,106.0,136.0,93.0
164,15.0,122.0,100.0,0.0
165,15.0,122.0,100.0,0.0
166,17.0,90.0,92.0,0.0
167,17.0,90.0,92.0,0.0
168,17.0,90.0,92.0,0.0
169,17.0,90.0,92.0,0.0
170,17.0,90.0,92.0,0.0
171,17.0,90.0,92.0,0.0
172,23.0,77.0,81.0,8.0
173,23.0,77.0,81.0,8.0
174,23.0,77.0,81.0,8.0
175,23.0,77.0,81.0,8.0
176,23.0,77.0,81.0,8.0
177,23.0,77.0,81.0,8.0
178,23.0,77.0,81.0,8.0
179,23.0,77.0,81.0,8.0
180,23.0,77.0,81.0,8.0
181,23.0,77.0,81.0,8.0
182,23.0,77.0,81.0,8.0
183,23.0,77.0,81.0,8.0
184,23.0,77.0,81.0,8.0
185,23.0,77.0,81.0,8.0
186,18.0,79.0,82.0,6.0
187,18.0,79.0,82.0,6.0
188,18.0,79.0,82.0,6.0
189,18.0,79.0,82.0,6.0
190,18.0,79.0,82.0,6.0
191,18.0,79.0,82.0,6.0
192,18.0,79.0,82.0,6.0
193,18.0,79.0,82.0,6.0
194,17.0,82.0,107.0,0.0
195,17.0,82.0,107.0,0.0
196,17.0,82.0,107.0,0.0
197,17.0,82.0,107.0,0.0
198,17.0,82.0,107.0,0.0
199,17.0,82.0,107.0,0.0
200,14.0,74.0,107.0,46.0
201,14.0,74.0,107.0,46.0
202,14.0,74.0,107.0,46.0
203,14.0,74.0,107.0,46.0
204,14.0,74.0,107.0,46.0
205,14.0,74.0,107.0,46.0
206,14.0,74.0,107.0,46.0
207,14.0,74.0,107.0,46.0
208,14.0,74.0,107.0,46.0
209,14.0,74.0,107.0,46.0
210,16.0,81.0,110.0,61.0
211,16.0,81.0,110.0,61.0
212,16.0,81.0,110.0,61.0
213,16.0,81.0,110.0,61.0
214,16.0,81.0,110.0,61.0
215,16.0,81.0,110.0,61.0
216,20.0,73.0,119.0,67.0
